STT,Thong_Tin,Label
40,Nhiệm vụ của Trung tâm Quản trị Hệ thống là đảm bảo cơ sở hạ tầng về kỹ thuật CNTT cho các hoạt động chung của trường.,Thong_Tin_Trung_Tam
41,"Trung tâm có nhiệm vụ quản lý và vận hành hệ thống server, hệ thống mạng và các thiết bị CNTT trong toàn trường.",Thong_Tin_Trung_Tam
42,Tổ chức và quản lý dữ liệu của trường theo sự phân công là một nhiệm vụ của Trung tâm Quản trị Hệ thống.,Thong_Tin_Trung_Tam
43,Trung tâm Quản trị Hệ thống chịu trách nhiệm xây dựng các kịch bản và mô hình backup dữ liệu theo định kỳ.,Thong_Tin_Trung_Tam
44,"Trung tâm có nhiệm vụ tư vấn xây dựng các điều kiện, tiêu chuẩn kỹ thuật khi nhà trường đầu tư thiết bị liên quan đến CNTT.",Thong_Tin_Trung_Tam
45,Trung tâm Quản trị Hệ thống chịu trách nhiệm quản lý hệ thống email của Trường Đại học Công nghiệp TP.HCM.,Thong_Tin_Trung_Tam
46,Nhiệm vụ của Trung tâm Quản trị Hệ thống là quản trị hệ thống wifi của Trường.,Thong_Tin_Trung_Tam
47,Trung tâm thực hiện việc quản trị và thiết lập về mặt hệ thống đối với phần mềm PMT-EMS của Nhà trường.,Thong_Tin_Trung_Tam
48,"Trung tâm có nhiệm vụ nghiên cứu, đề xuất, tổ chức xây dựng, tiếp nhận và triển khai các dự án CNTT, các phần mềm nghiệp vụ phục vụ đào tạo và quản lý.",Thong_Tin_Trung_Tam
49,"Trung tâm phối hợp với các đơn vị trong và ngoài trường nghiên cứu, phát triển tài nguyên CNTT phục vụ công tác quản lý và đào tạo nhằm đồng bộ hóa dữ liệu.",Thong_Tin_Trung_Tam
50,"Đảm bảo an toàn dữ liệu, bảo mật thông tin các phần mềm được nhà trường giao phụ trách là nhiệm vụ của Trung tâm Quản trị Hệ thống.",Thong_Tin_Trung_Tam
51,"Văn phòng của Trung tâm Quản trị Hệ thống được đặt tại Lầu 2, nhà E, số 12 Nguyễn Văn Bảo, phường 4, quận Gò Vấp, TPHCM.",Thong_Tin_Trung_Tam
52,"Trung tâm Quản trị Hệ thống còn có văn phòng tại Lầu 10, nhà H, số 12 Nguyễn Văn Bảo, phường 4, quận Gò Vấp, TPHCM.",Thong_Tin_Trung_Tam
53,"Số điện thoại liên hệ của Trung tâm Quản trị Hệ thống là (028) 38 940 390, số nội bộ chuyển máy 168 hoặc 838.",Thong_Tin_Trung_Tam
54,Địa chỉ email hỗ trợ của Trung tâm Quản trị Hệ thống là csm@iuh.edu.vn.,Thong_Tin_Trung_Tam
55,ThS. Nguyễn Phúc Hưng đang giữ chức vụ Giám đốc của Trung tâm Quản trị Hệ thống.,Thong_Tin_Trung_Tam
56,Giám đốc Nguyễn Phúc Hưng phụ trách phân công công việc cho các thành viên trong đơn vị.,Thong_Tin_Trung_Tam
57,"Giám đốc Nguyễn Phúc Hưng phụ trách các lĩnh vực về tài chính, nhân sự, kế hoạch dự toán năm của Trung tâm.",Thong_Tin_Trung_Tam
58,Giám đốc Nguyễn Phúc Hưng có nhiệm vụ theo dõi kiểm tra dữ liệu backup trên hệ thống server.,Thong_Tin_Trung_Tam
59,"Giám đốc Nguyễn Phúc Hưng phụ trách định hướng phát triển của đơn vị, định hướng nghiên cứu khoa học và phát triển phần mềm hỗ trợ người dùng.",Thong_Tin_Trung_Tam
60,ThS. Võ Bảo Trung đang giữ chức vụ Phó Giám đốc của Trung tâm Quản trị Hệ thống.,Thong_Tin_Trung_Tam
61,Phó Giám đốc Võ Bảo Trung phụ trách toàn bộ về hệ thống các server và hệ thống mạng toàn trường.,Thong_Tin_Trung_Tam
62,Phó Giám đốc Võ Bảo Trung phụ trách chính về backup các hệ thống dữ liệu của các phần mềm của Trường.,Thong_Tin_Trung_Tam
63,"Phó Giám đốc Võ Bảo Trung phụ trách giám sát việc truy cập hệ thống từ bên ngoài, xây dựng phương án dự phòng và xử lý sự cố.",Thong_Tin_Trung_Tam
64,Phó Giám đốc Võ Bảo Trung tham mưu đề xuất các mô hình giải pháp mới nhằm tăng hiệu quả cho hệ thống CNTT của Trường.,Thong_Tin_Trung_Tam
65,"Phó Giám đốc Võ Bảo Trung phụ trách chấm công A,B,C hàng tháng, phụ trách Công đoàn và công tác PCCC, CNCH tại đơn vị.",Thong_Tin_Trung_Tam
66,KS. Mai Hoàng Thụy Khanh là Chuyên viên tại Trung tâm Quản trị Hệ thống.,Thong_Tin_Trung_Tam
67,Chuyên viên Mai Hoàng Thụy Khanh phụ trách quản trị hệ thống phần mềm đào tạo và tham gia hỗ trợ công tác xét tốt nghiệp.,Thong_Tin_Trung_Tam
68,Chuyên viên Mai Hoàng Thụy Khanh phụ trách quản trị hệ thống học tập trực tuyến LMS của trường.,Thong_Tin_Trung_Tam
69,"Chuyên viên Mai Hoàng Thụy Khanh đảm nhận công tác văn phòng phẩm, làm thủ quỹ tài chính và quản lý tài sản chung của đơn vị.",Thong_Tin_Trung_Tam
70,KS. Lưu Quang Đức là Chuyên viên tại Trung tâm Quản trị Hệ thống.,Thong_Tin_Trung_Tam
71,Chuyên viên Lưu Quang Đức phụ trách chính hệ thống mạng nội bộ đến các phòng ban đơn vị trong trường.,Thong_Tin_Trung_Tam
72,Chuyên viên Lưu Quang Đức phụ trách việc cấp email cho Giảng viên và sinh viên toàn trường.,Thong_Tin_Trung_Tam
73,"Chuyên viên Lưu Quang Đức phụ trách quản trị hệ thống wifi DHCN, kiểm tra backup định kỳ và giám sát truy cập từ bên ngoài.",Thong_Tin_Trung_Tam
74,KS. Nguyễn Quang Thăng là Chuyên viên tại Trung tâm Quản trị Hệ thống.,Thong_Tin_Trung_Tam
75,Chuyên viên Nguyễn Quang Thăng tham gia quản trị hệ thống phần mềm đào tạo và phụ trách hệ thống thi trực tuyến của trường.,Thong_Tin_Trung_Tam
76,Chuyên viên Nguyễn Quang Thăng phụ trách cấp và thu hồi tài khoản email của Giảng viên và Sinh viên.,Thong_Tin_Trung_Tam
77,Chuyên viên Nguyễn Quang Thăng phụ trách quản trị nội dung website và các kênh hỗ trợ online của Trung tâm.,Thong_Tin_Trung_Tam
78,KS. Nguyễn Thị Thúy Uyên là Chuyên viên tại Trung tâm Quản trị Hệ thống.,Thong_Tin_Trung_Tam
79,Chuyên viên Nguyễn Thị Thúy Uyên tham gia quản trị hệ thống mạng nội bộ trong trường và nghiên cứu phát triển chức năng hệ thống.,Thong_Tin_Trung_Tam
80,Chuyên viên Nguyễn Thị Thúy Uyên đảm nhiệm việc hỗ trợ người dùng thông qua kênh hỗ trợ online của Trung tâm.,Thong_Tin_Trung_Tam
81,Trung tâm Quản trị Hệ thống xây dựng và triển khai hệ thống đánh giá mức độ hài lòng tại trường Đại học Công nghiệp TP.HCM (IUH).,Thong_Tin_Trung_Tam
82,Mục đích của hệ thống đánh giá do Trung tâm Quản trị Hệ thống xây dựng là nhằm nâng cao chất lượng phục vụ và lắng nghe ý kiến phản hồi từ sinh viên.,Thong_Tin_Trung_Tam
83,Trung tâm Quản trị Hệ thống đã xây dựng hệ thống đánh giá mức độ hài lòng tại IUH theo chỉ đạo của Ban Giám hiệu nhà trường.,Thong_Tin_Trung_Tam
84,Hệ thống đánh giá của Trung tâm Quản trị Hệ thống là thước đo mức độ hài lòng giữa sinh viên với nhân viên phục vụ trong trường.,Thong_Tin_Trung_Tam
85,"Việc sử dụng hệ thống đánh giá không cần biểu mẫu phức tạp hay quy trình rườm rà, người dùng chỉ cần quét mã QRCode và thực hiện đánh giá trên điện thoại cá nhân.",Thong_Tin_Trung_Tam
86,Hệ thống đánh giá mức độ hài lòng do Trung tâm Quản trị Hệ thống phát triển giúp đảm bảo tính riêng tư và khách quan của thông tin người đánh giá.,Thong_Tin_Trung_Tam
87,"Thông qua hệ thống đánh giá, mỗi ý kiến của giảng viên và sinh viên là một mảnh ghép quan trọng trong bức tranh toàn cảnh về chất lượng dịch vụ của trường.",Thong_Tin_Trung_Tam
88,"Hệ thống đánh giá giúp Ban Giám hiệu nhìn rõ hơn về năng lực và thái độ phục vụ đối với người học, qua đó góp phần cải thiện, nâng cao chất lượng dịch vụ tại trường.",Thong_Tin_Trung_Tam
89,"Hệ thống đánh giá do Trung tâm Quản trị Hệ thống triển khai còn mang lại sự công bằng cho những viên chức, người lao động đang tận tâm làm việc mỗi ngày.",Thong_Tin_Trung_Tam
90,Máy đánh giá mức độ hài lòng được đặt tại các vị trí thuận tiện để sinh viên và giảng viên dễ dàng thực hiện việc đánh giá.,Thong_Tin_Trung_Tam
91,"Tại cơ sở 1 của IUH, máy đánh giá mức độ hài lòng được đặt ở nhà B cạnh thang máy, nhà V cạnh Khoa Luật, nhà X cạnh Khoa Cơ khí, nhà E kế bên Phòng Tài chính Kế toán và nhà D cạnh thang máy.",Thong_Tin_Trung_Tam
92,"Tại cơ sở Nguyễn Văn Dung của IUH, máy đánh giá mức độ hài lòng được đặt tại khu vực sảnh nhà N và khu vực thang máy nhà N.",Thong_Tin_Trung_Tam
93,"Hệ thống đánh giá mức độ hài lòng là một bước tiến để trường học trở thành môi trường toàn diện, nơi học tập, giảng dạy và sự đóng góp của mọi người đều được nhìn nhận xứng đáng.",Thong_Tin_Trung_Tam
94,Trung tâm Quản trị Hệ thống (QTHT) đã triển khai hệ thống Chatbot AI nhằm hỗ trợ công tác tư vấn tuyển sinh cho mùa tuyển sinh đại học năm 2025.,Thong_Tin_Trung_Tam
95,Trung tâm Quản trị Hệ thống ứng dụng trí tuệ nhân tạo (AI) để xây dựng Chatbot hỗ trợ tư vấn tuyển sinh nhằm đáp ứng nhu cầu tìm hiểu quy chế và dữ liệu tuyển sinh của học sinh trung học phổ thông.,Thong_Tin_Trung_Tam
96,Hệ thống Chatbot AI do Trung tâm Quản trị Hệ thống xây dựng giúp học sinh trung học phổ thông tiếp cận thông tin tuyển sinh một cách nhanh chóng và tiện lợi.,Thong_Tin_Trung_Tam
97,Ứng dụng Chatbot AI của Trung tâm Quản trị Hệ thống giúp cán bộ tư vấn tuyển sinh tìm kiếm thông tin linh động và chủ động hơn trong việc tư vấn cho học sinh.,Thong_Tin_Trung_Tam
98,Hệ thống Chatbot AI cho phép học sinh gửi câu hỏi và nhận câu trả lời tư vấn tuyển sinh ngay lập tức khi đến tham quan trường.,Thong_Tin_Trung_Tam
99,Hệ thống Chatbot AI là công cụ giúp học sinh dễ dàng tra cứu điểm chuẩn trúng tuyển các ngành học vào trường qua các năm.,Thong_Tin_Trung_Tam
100,Hệ thống Chatbot AI hỗ trợ cung cấp thông tin về thủ tục hồ sơ xét tuyển và các phương thức xét tuyển của trường cho học sinh.,Thong_Tin_Trung_Tam
101,Hệ thống Chatbot AI có khả năng trả lời các câu hỏi mang tính chất tư vấn và gợi ý để học sinh có thể định hướng tốt hơn.,Thong_Tin_Trung_Tam
102,Hệ thống Chatbot AI hỗ trợ học sinh lựa chọn ngành đăng ký phù hợp với tổ hợp môn xét tuyển.,Thong_Tin_Trung_Tam
103,Hệ thống Chatbot AI giúp học sinh mở rộng góc nhìn và có thêm lựa chọn tham khảo về ngành học phù hợp với năng lực cá nhân nhờ vào nguồn dữ liệu phong phú và khả năng phân tích nhanh chóng.,Thong_Tin_Trung_Tam
104,Hệ thống Chatbot AI hỗ trợ tư vấn tuyển sinh giúp tiết kiệm thời gian cho học sinh và phụ huynh so với việc tư vấn truyền thống.,Thong_Tin_Trung_Tam
105,Hệ thống Chatbot AI có khả năng tổng hợp nguồn thông tin dữ liệu tuyển sinh một cách nhanh chóng và hiệu quả.,Thong_Tin_Trung_Tam
106,"Việc ứng dụng hệ thống Chatbot AI giúp nâng cao hiệu quả trải nghiệm, tăng cường tương tác công nghệ mới và thúc đẩy chuyển đổi số trong tương lai.",Thong_Tin_Trung_Tam
107,Hệ thống Chatbot AI giúp giảm tải khối lượng công việc cho đội ngũ tư vấn viên mà vẫn đảm bảo chất lượng thông tin cung cấp.,Thong_Tin_Trung_Tam
108,"Trung tâm Quản trị Hệ thống đã triển khai hệ thống Chatbot tư vấn tuyển sinh tại khu vực tư vấn tuyển sinh để đón tiếp các bạn học sinh đến tham quan, tìm hiểu.",Thong_Tin_Trung_Tam
109,Trung tâm Quản trị Hệ thống cũng tích hợp và sử dụng hệ thống Chatbot AI tại các sự kiện tư vấn tuyển sinh có sự tham gia của đội ngũ tuyển sinh nhà trường.,Thong_Tin_Trung_Tam
110,Trung tâm Quản trị Hệ thống liên tục thực hiện định hướng phát triển và tích hợp Trí tuệ nhân tạo (AI) vào các hoạt động của Nhà trường để phù hợp với xu hướng chuyển đổi số.,Thong_Tin_Trung_Tam
111,Trung tâm Quản trị Hệ thống còn ứng dụng Trí tuệ nhân tạo (AI) vào một số hoạt động khác trong trường nhằm góp phần nâng cao hiệu quả trong công tác quản lý vận hành của Nhà trường.,Thong_Tin_Trung_Tam
112,LỄ CÔNG BỐ QUYẾT ĐỊNH BỔ NHIỆM LẠI VIÊN CHỨC QUẢN LÝ TRUNG TÂM QUẢN TRỊ HỆ THỐNG diễn ra vào ngày 29 tháng 07 năm 2024,Thong_Tin_Trung_Tam
113,Chiều ngày 29 táng 07 năm 2024 tại Hội trường E3.2 đã diễn ra Lễ Công bố quyết định Bổ nhiệm lại Viên chức Quản lý Trung tâm Quản trị Hệ thống.,Thong_Tin_Trung_Tam
114,"Tham dự buổi lễ có ông Phan Hồng Hải - Bí thư Đảng uỷ - Hiệu trưởng Nhà trường; bà Nguyễn Thị Thu Hà – Phó trưởng phòng TCHC và toàn thể cán bộ, viên chức trung tâm cùng tham dự.",Thong_Tin_Trung_Tam
115,"Tại buổi lễ, TS. Phan Hồng Hải đã thay mặt Đảng ủy, Ban Giám hiệu trao Quyết định bổ nhiệm cho Thầy Nguyễn Phúc Hưng sẽ tiếp tục giữ chức vụ Giám đốc Trung tâm Quản trị Hệ Thống.",Thong_Tin_Trung_Tam
116,"TRUNG TÂM QUẢN TRỊ HỆ THỐNG Xin chúc mừng Thầy Nguyễn Phúc Hưng, kính chúc Thầy sức khoẻ và đạt nhiều thành công trong nhiệm kỳ tới.",Thong_Tin_Trung_Tam
117,LỄ CÔNG BỐ QUYẾT ĐỊNH BỔ NHIỆM VIÊN CHỨC QUẢN LÝ TRUNG TÂM QUẢN TRỊ HỆ THỐNG,Thong_Tin_Trung_Tam
118,"Chiều ngày 30 tháng 09 năm 2024, tại Hội trường E2, đã diễn ra Lễ Công bố quyết định Bổ nhiệm Viên chức quản lý Trung tâm Quản trị hệ thống.",Thong_Tin_Trung_Tam
119,"Tham dự buổi lễ có sự tham gia của ông Huỳnh Trung Hiếu - Phó Hiệu trưởng Nhà trường; ông Phạm Trung Kiên – Phó Bí thư Đảng uỷ, Trưởng phòng Tổ chức Hành chính; ông Nguyễn Phúc Hưng – Giám đốc TTQTHT, cùng toàn thể cán bộ, viên chức và nhân viên trung tâm cùng tham dự.",Thong_Tin_Trung_Tam
120,"Tại buổi lễ, ông Phạm Trung Kiên đã thay mặt Đảng uỷ, Ban Giám hiệu Nhà trường công bố Quyết định giao nhiệm vụ ông Võ Bảo Trung sẽ giữ chức vụ Phó Giám đốc Trung tâm Quản trị hệ thống.",Thong_Tin_Trung_Tam
121,"Trung tâm Quản trị Hệ thống cảnh báo về một loại mã độc mới đã lây nhiễm hơn 10 triệu smartphone chạy Android trên toàn cầu, trong đó có cả Việt Nam.",Thong_Tin_Trung_Tam
122,"Theo thông báo từ Trung tâm Quản trị Hệ thống, loại mã độc nguy hiểm này có tên gọi là GriftHorse.",Thong_Tin_Trung_Tam
123,Trung tâm Quản trị Hệ thống cho biết mã độc GriftHorse được phát hiện bởi các nhà nghiên cứu tại công ty bảo mật di động Zimperium của Mỹ.,Thong_Tin_Trung_Tam
124,Trung tâm Quản trị Hệ thống lưu ý rằng mã độc GriftHorse thường mạo danh các ứng dụng bình thường trên kho ứng dụng CH Play để lừa người dùng.,Thong_Tin_Trung_Tam
125,Trung tâm Quản trị Hệ thống thông tin thêm rằng loại mã độc này có khả năng qua mặt cơ chế kiểm duyệt của Google và các công cụ diệt virus trên smartphone.,Thong_Tin_Trung_Tam
126,"Theo Trung tâm Quản trị Hệ thống, khi cài đặt ứng dụng chứa mã độc, thiết bị sẽ liên tục hiển thị các hộp thoại quảng cáo về quà tặng hoặc chương trình khuyến mãi.",Thong_Tin_Trung_Tam
127,Trung tâm Quản trị Hệ thống cảnh báo thủ đoạn của mã độc là yêu cầu người dùng điền số điện thoại để nhận các giải thưởng hấp dẫn giả mạo.,Thong_Tin_Trung_Tam
128,"Trung tâm Quản trị Hệ thống nhấn mạnh, nếu điền số điện thoại, người dùng sẽ vô tình đăng ký một dịch vụ nhắn tin tốn phí lên đến 35 USD/tháng hoặc cao hơn.",Thong_Tin_Trung_Tam
129,Trung tâm Quản trị Hệ thống cho biết số tiền lừa đảo này sẽ được chuyển trực tiếp vào tài khoản của nhóm tin tặc đứng sau mã độc GriftHorse.,Thong_Tin_Trung_Tam
130,"Dẫn nguồn từ Zimperium, Trung tâm Quản trị Hệ thống thông báo nhóm tin tặc này có thể bỏ túi từ 1,5 triệu đến 4 triệu USD mỗi tháng.",Thong_Tin_Trung_Tam
131,Trung tâm Quản trị Hệ thống cảnh báo mã độc GriftHorse có khả năng ngụy trang cực kỳ tinh vi để vượt qua khâu kiểm duyệt gắt gao của kho ứng dụng Android.,Thong_Tin_Trung_Tam
132,"Theo thống kê được Trung tâm Quản trị Hệ thống ghi nhận, có hơn 200 ứng dụng chứa mã độc GriftHorse đã được phát tán trái phép.",Thong_Tin_Trung_Tam
133,"Trung tâm Quản trị Hệ thống cho biết các ứng dụng nhiễm mã độc này thuộc rất nhiều danh mục như: giải đố, nhắn tin, hẹn hò, game hay chăm sóc sức khỏe.",Thong_Tin_Trung_Tam
134,Trung tâm Quản trị Hệ thống cảnh báo mức độ nguy hiểm khi có những ứng dụng chứa mã độc đã đạt hơn một triệu lượt tải xuống.,Thong_Tin_Trung_Tam
135,Trung tâm Quản trị Hệ thống thông tin rằng loại mã độc này đã âm thầm phát tán từ tháng 11/2020 nhưng thời gian gần đây mới bị phát hiện.,Thong_Tin_Trung_Tam
136,Trung tâm Quản trị Hệ thống cho biết Google đã nhận được danh sách các ứng dụng chứa mã độc để tiến hành gỡ bỏ chúng khỏi CH Play.,Thong_Tin_Trung_Tam
137,Trung tâm Quản trị Hệ thống khuyến cáo mạnh mẽ rằng nếu người dùng đã cài đặt các ứng dụng độc hại này thì phải gỡ bỏ ra khỏi thiết bị ngay lập tức.,Thong_Tin_Trung_Tam
138,"Trung tâm Quản trị Hệ thống công bố danh sách một số ứng dụng chứa mã độc cần gỡ bỏ khẩn cấp bao gồm: Handy Translator Pro, Heart Rate and Pulse Tracker, Geospot.",Thong_Tin_Trung_Tam
139,"Trung tâm Quản trị Hệ thống đề nghị sinh viên và giảng viên kiểm tra điện thoại và xóa ngay các ứng dụng như iCare - Find Location, My Chat Translator, Bus - Metrolis 2021.",Thong_Tin_Trung_Tam
140,"Trung tâm Quản trị Hệ thống nhắc nhở người dùng cảnh giác với các ứng dụng lừa đảo khác nằm trong danh sách đen như Free Translator Photo, Locker Tool, Fingerprint Changer.",Thong_Tin_Trung_Tam
141,Trung tâm Quản trị Hệ thống cảnh báo người dùng về việc ứng dụng Handy Translator Pro có chứa mã độc lừa đảo.,Thong_Tin_Trung_Tam
142,"Theo Trung tâm Quản trị Hệ thống, ứng dụng Free Calls WorldWide nằm trong danh sách nhiễm mã độc GriftHorse cần gỡ bỏ ngay lập tức.",Thong_Tin_Trung_Tam
143,Trung tâm Quản trị Hệ thống khuyến cáo giảng viên và sinh viên xóa khẩn cấp ứng dụng Live Wallpaper & Background khỏi điện thoại.,Thong_Tin_Trung_Tam
144,Ứng dụng Heart Rate and Pulse Tracker đã bị Trung tâm Quản trị Hệ thống đưa vào danh sách đen các phần mềm độc hại.,Thong_Tin_Trung_Tam
145,Trung tâm Quản trị Hệ thống thông báo ứng dụng My Locator Plus là một phần mềm mạo danh trên CH Play nhằm chiếm đoạt tài sản.,Thong_Tin_Trung_Tam
146,Trung tâm Quản trị Hệ thống cảnh báo người dùng về việc ứng dụng Intelligent Translator Pro có chứa mã độc lừa đảo.,Thong_Tin_Trung_Tam
147,"Theo Trung tâm Quản trị Hệ thống, ứng dụng Geospot: GPS Location Tracker nằm trong danh sách nhiễm mã độc GriftHorse cần gỡ bỏ ngay lập tức.",Thong_Tin_Trung_Tam
148,Trung tâm Quản trị Hệ thống khuyến cáo giảng viên và sinh viên xóa khẩn cấp ứng dụng iSalam Qibla Compass khỏi điện thoại.,Thong_Tin_Trung_Tam
149,Ứng dụng Face Analyzer đã bị Trung tâm Quản trị Hệ thống đưa vào danh sách đen các phần mềm độc hại.,Thong_Tin_Trung_Tam
150,Trung tâm Quản trị Hệ thống thông báo ứng dụng iCare - Find Location là một phần mềm mạo danh trên CH Play nhằm chiếm đoạt tài sản.,Thong_Tin_Trung_Tam
151,Trung tâm Quản trị Hệ thống cảnh báo người dùng về việc ứng dụng Language Translator-Easy&Fast có chứa mã độc lừa đảo.,Thong_Tin_Trung_Tam
152,"Theo Trung tâm Quản trị Hệ thống, ứng dụng iTranslator_ Text & Voice & Photo nằm trong danh sách nhiễm mã độc GriftHorse cần gỡ bỏ ngay lập tức.",Thong_Tin_Trung_Tam
