STT,Contents,Labels,length,clean_text
14,"học phần thay thế được dùng khi khóa sau không còn tổ chức giảng dạy môn đó nữa, hoặc để thay thế cho một môn tự chọn bị rớt điểm f.",Quy_Che_Quy_Dinh,31,học phần thay thế được dùng khi khóa sau không còn tổ chức giảng dạy môn đó nữa hoặc để thay thế cho một môn tự chọn bị rớt điểm f
15,điều kiện để một học phần được coi là tương đương là phải có nội dung giống ít nhất 75% và số tín chỉ tương đương.,Quy_Che_Quy_Dinh,26,điều kiện để một học phần được coi là tương đương là phải có nội dung giống ít nhất 75 và số tín chỉ tương đương
16,năm học tại đại học công nghiệp thành phố hồ chí minh bao gồm hai học kỳ chính và một học kỳ phụ tự nguyện trong dịp hè.,Quy_Che_Quy_Dinh,28,năm học tại đại học công nghiệp thành phố hồ chí minh bao gồm hai học kỳ chính và một học kỳ phụ tự nguyện trong dịp hè
17,kỳ hè trường mình kéo dài mấy tuần vậy ạ,Quy_Che_Quy_Dinh,10,kỳ hè trường mình kéo dài mấy tuần vậy ạ
18,chương trình đào tạo tăng cường tiếng anh yêu cầu tối thiểu 20 tín chỉ được giảng dạy và đánh giá hoàn toàn bằng tiếng anh.,Quy_Che_Quy_Dinh,26,chương trình đào tạo tăng cường tiếng anh yêu cầu tối thiểu 20 tín chỉ được giảng dạy và đánh giá hoàn toàn bằng tiếng anh
19,ctđt cử nhân tài năng có yêu cầu đầu vào về ngoại ngữ và thành tích học tập không?,Quy_Che_Quy_Dinh,19,ctđt cử nhân tài năng có yêu cầu đầu vào về ngoại ngữ và thành tích học tập không
20,điểm trung bình chung tích lũy (đtbctl) là cơ sở quan trọng nhất để nhà trường xét học bổng và xét tốt nghiệp cho sinh viên.,Quy_Che_Quy_Dinh,26,điểm trung bình chung tích lũy đtbctl là cơ sở quan trọng nhất để nhà trường xét học bổng và xét tốt nghiệp cho sinh viên
21,điểm tbhl với điểm tbctl khác nhau chỗ nào thế ạ,Quy_Che_Quy_Dinh,11,điểm tbhl với điểm tbctl khác nhau chỗ nào thế ạ
22,điểm trung bình học lực sẽ tính cả những môn không đạt hoặc sinh viên bỏ học.,Quy_Che_Quy_Dinh,17,điểm trung bình học lực sẽ tính cả những môn không đạt hoặc sinh viên bỏ học
23,"phương thức tổ chức đào tạo theo hệ thống tín chỉ: là phương thức tổ chức đào tạo theo lớp học phần, cho phép sinh viên tích lũy tín chỉ của từng học phần và thực hiện chương trình đào tạo theo kế hoạch học tập của cá nhân sao cho phù hợp với kế hoạch giảng dạy của đơn vị đào tạo và của trường.",Quy_Che_Quy_Dinh,66,phương thức tổ chức đào tạo theo hệ thống tín chỉ là phương thức tổ chức đào tạo theo lớp học phần cho phép sinh viên tích lũy tín chỉ của từng học phần và thực hiện chương trình đào tạo theo kế hoạch học tập của cá nhân sao cho phù hợp với kế hoạch giảng dạy của đơn vị đào tạo và của trường
24,"hình thức đào tạo: là cách thức tổ chức hoạt động đào tạo, chương trình đào tạo nhằm cung cấp và củng cố nền tảng kiến thức chuyên môn liên quan đến ngành/chuyên ngành mà sinh viên đang theo học tại trường. nhà trường hiện có các hình thức đào tạo sau đây:",Quy_Che_Quy_Dinh,54,hình thức đào tạo là cách thức tổ chức hoạt động đào tạo chương trình đào tạo nhằm cung cấp và củng cố nền tảng kiến thức chuyên môn liên quan đến ngành chuyên ngành mà sinh viên đang theo học tại trường nhà trường hiện có các hình thức đào tạo sau đây
25,"bao gồm các loại hình đào tạo: văn bằng 1 đại học chính quy hay còn được gọi là hệ chính quy (gọi tắt là đhcq), liên thông từ trình độ đại học sang trình độ đại học hình thức chính quy (gọi tắt là vb2cq), đào tạo từ xa trình độ đại học (gọi tắt là đhtx), liên thông từ trình độ cao đẳng lên trình độ đại học hình thức chính quy (gọi tắt là ltcđcq), liên thông từ trung cấp lên trình độ đại học hình thức chính quy (gọi tắt là lttccq).",Quy_Che_Quy_Dinh,96,bao gồm các loại hình đào tạo văn bằng 1 đại học chính quy hay còn được gọi là hệ chính quy gọi tắt là đhcq liên thông từ trình độ đại học sang trình độ đại học hình thức chính quy gọi tắt là vb2cq đào tạo từ xa trình độ đại học gọi tắt là đhtx liên thông từ trình độ cao đẳng lên trình độ đại học hình thức chính quy gọi tắt là ltcđcq liên thông từ trung cấp lên trình độ đại học hình thức chính quy gọi tắt là lttccq
26,"các hoạt động giảng dạy được thực hiện tại trường, riêng những hoạt động thực hành, thực tập, trải nghiệm thực tế và giảng dạy trực tuyến có thể thực hiện ngoài trường;",Quy_Che_Quy_Dinh,33,các hoạt động giảng dạy được thực hiện tại trường riêng những hoạt động thực hành thực tập trải nghiệm thực tế và giảng dạy trực tuyến có thể thực hiện ngoài trường
27,thời gian tổ chức hoạt động giảng dạy trong khoảng từ 06 giờ đến 21 giờ các ngày trong tuần từ thứ 2 đến thứ 7; thời gian tổ chức những hoạt động đặc thù của chương trình đào tạo được thực hiện theo quy định của trường.,Quy_Che_Quy_Dinh,48,thời gian tổ chức hoạt động giảng dạy trong khoảng từ 06 giờ đến 21 giờ các ngày trong tuần từ thứ 2 đến thứ 7 thời gian tổ chức những hoạt động đặc thù của chương trình đào tạo được thực hiện theo quy định của trường
28,hình thức đào tạo vừa làm vừa học:,Quy_Che_Quy_Dinh,8,hình thức đào tạo vừa làm vừa học
29,"bao gồm các loại hình đào tạo: văn bằng 1 đại học vừa làm vừa học (gọi tắt là vb1vlvh), liên thông từ đại học sang trình độ đại học hình thức vừa làm vừa học (gọi tắt là vb2vlvh), liên thông từ cao đẳng lên trình độ đại học hình thức vừa làm vừa học (gọi tắt là ltcđvlvh), liên thông từ trung cấp lên trình độ đại học hình thức vừa làm vừa học (gọi tắt là lttcvlvh).",Quy_Che_Quy_Dinh,80,bao gồm các loại hình đào tạo văn bằng 1 đại học vừa làm vừa học gọi tắt là vb1vlvh liên thông từ đại học sang trình độ đại học hình thức vừa làm vừa học gọi tắt là vb2vlvh liên thông từ cao đẳng lên trình độ đại học hình thức vừa làm vừa học gọi tắt là ltcđvlvh liên thông từ trung cấp lên trình độ đại học hình thức vừa làm vừa học gọi tắt là lttcvlvh
30,"các hoạt động giảng dạy được thực hiện tại trường hoặc tại cơ sở phối hợp đào tạo theo quy định liên kết đào tạo tại điều 16 của quy chế này, riêng những hoạt động thực hành, thực tập, trải nghiệm thực tế và giảng dạy trực tuyến có thể thực hiện ngoài trường hoặc cơ sở phối hợp đào tạo.",Quy_Che_Quy_Dinh,62,các hoạt động giảng dạy được thực hiện tại trường hoặc tại cơ sở phối hợp đào tạo theo quy định liên kết đào tạo tại điều 16 của quy chế này riêng những hoạt động thực hành thực tập trải nghiệm thực tế và giảng dạy trực tuyến có thể thực hiện ngoài trường hoặc cơ sở phối hợp đào tạo
31,thời gian tổ chức hoạt động giảng dạy linh hoạt trong ngày và trong tuần.,Quy_Che_Quy_Dinh,15,thời gian tổ chức hoạt động giảng dạy linh hoạt trong ngày và trong tuần
32,"chương trình đào tạo trình độ đại học: là một chương trình bao gồm hệ thống các hoạt động giáo dục, đào tạo được thiết kế và tổ chức thực hiện nhằm đạt được các mục tiêu đào tạo, hướng tới cấp một văn bằng giáo dục đại học cho sinh viên.",Quy_Che_Quy_Dinh,52,chương trình đào tạo trình độ đại học là một chương trình bao gồm hệ thống các hoạt động giáo dục đào tạo được thiết kế và tổ chức thực hiện nhằm đạt được các mục tiêu đào tạo hướng tới cấp một văn bằng giáo dục đại học cho sinh viên
33,nhà trường có các chương trình đào tạo sau:,Quy_Che_Quy_Dinh,9,nhà trường có các chương trình đào tạo sau
34,"chương trình đào tạo chuẩn trình độ đại học (còn được gọi là chương trình chuẩn hoặc chương trình đại trà): được nhà trường xây dựng trên cơ sở đáp ứng đầy đủ các quy định hiện hành và mục tiêu đào tạo của iuh, được thực hiện giảng dạy, học tập chủ yếu bằng tiếng việt. chương trình chuẩn là cơ sở tham chiếu để xây dựng ctđt tăng cường tiếng anh, ctđt tiếng anh toàn phần và ctđt kỹ sư/cử nhân tài năng.",Quy_Che_Quy_Dinh,86,chương trình đào tạo chuẩn trình độ đại học còn được gọi là chương trình chuẩn hoặc chương trình đại trà được nhà trường xây dựng trên cơ sở đáp ứng đầy đủ các quy định hiện hành và mục tiêu đào tạo của iuh được thực hiện giảng dạy học tập chủ yếu bằng tiếng việt chương trình chuẩn là cơ sở tham chiếu để xây dựng ctđt tăng cường tiếng anh ctđt tiếng anh toàn phần và ctđt kỹ sư cử nhân tài năng
35,"ctđt tăng cường tiếng anh (còn gọi là ctđt chất lượng cao hoặc ctđt tiên tiến): được thực hiện giảng dạy, học tập bằng tiếng việt kết hợp với một số học phần được giảng dạy, học tập, kiểm tra, đánh giá và thi kết thúc học phần bằng tiếng anh. số lượng tín chỉ tối thiểu giảng dạy, học tập bằng tiếng anh là 20 tín chỉ.",Quy_Che_Quy_Dinh,68,ctđt tăng cường tiếng anh còn gọi là ctđt chất lượng cao hoặc ctđt tiên tiến được thực hiện giảng dạy học tập bằng tiếng việt kết hợp với một số học phần được giảng dạy học tập kiểm tra đánh giá và thi kết thúc học phần bằng tiếng anh số lượng tín chỉ tối thiểu giảng dạy học tập bằng tiếng anh là 20 tín chỉ
36,"ctđt tiếng anh toàn phần: được thực hiện giảng dạy, học tập, kiểm tra, đánh giá và thi kết thúc học phần bằng tiếng anh, ngoại trừ các học phần lý luận chính trị, giáo dục thể chất, giáo dục quốc phòng và an ninh.",Quy_Che_Quy_Dinh,45,ctđt tiếng anh toàn phần được thực hiện giảng dạy học tập kiểm tra đánh giá và thi kết thúc học phần bằng tiếng anh ngoại trừ các học phần lý luận chính trị giáo dục thể chất giáo dục quốc phòng và an ninh
37,"ctđt kỹ sư/cử nhân tài năng: là chương trình đào tạo cử nhân, kỹ sư được thiết kế đặc thù cho sinh viên có thành tích học tập, rèn luyện, khả năng ngoại ngữ tốt và có tiềm năng nghiên cứu khoa học trong lĩnh vực đào tạo nhằm phát triển toàn diện kiến thức chuyên môn, kỹ năng nghề nghiệp và năng lực hội nhập quốc tế cho sinh viên sau khi tốt nghiệp.",Quy_Che_Quy_Dinh,76,ctđt kỹ sư cử nhân tài năng là chương trình đào tạo cử nhân kỹ sư được thiết kế đặc thù cho sinh viên có thành tích học tập rèn luyện khả năng ngoại ngữ tốt và có tiềm năng nghiên cứu khoa học trong lĩnh vực đào tạo nhằm phát triển toàn diện kiến thức chuyên môn kỹ năng nghề nghiệp và năng lực hội nhập quốc tế cho sinh viên sau khi tốt nghiệp
38,"các yêu cầu về việc tuyển chọn sinh viên, tổ chức giảng dạy và học tập của ctđt kỹ sư/cử nhân tài năng được thực hiện theo quy định tổ chức đào tạo chương trình kỹ sư và cử nhân tài năng hiện hành của trường đại học công nghiệp thành phố hồ chí minh.",Quy_Che_Quy_Dinh,56,các yêu cầu về việc tuyển chọn sinh viên tổ chức giảng dạy và học tập của ctđt kỹ sư cử nhân tài năng được thực hiện theo quy định tổ chức đào tạo chương trình kỹ sư và cử nhân tài năng hiện hành của trường đại học công nghiệp thành phố hồ chí minh
39,"chương trình đào tạo được xây dựng theo đơn vị tín chỉ, cấu trúc từ các môn học hoặc học phần (sau đây gọi chung là học phần), trong đó phải có đủ các học phần bắt buộc và đáp ứng chuẩn ctđt theo quy định hiện hành của bộ giáo dục và đào tạo. trong trường hợp đào tạo song ngành hoặc kiểu ngành chính - ngành phụ, ctđt phải thể hiện rõ khối lượng học tập chung và riêng theo từng ngành.",Quy_Che_Quy_Dinh,83,chương trình đào tạo được xây dựng theo đơn vị tín chỉ cấu trúc từ các môn học hoặc học phần sau đây gọi chung là học phần trong đó phải có đủ các học phần bắt buộc và đáp ứng chuẩn ctđt theo quy định hiện hành của bộ giáo dục và đào tạo trong trường hợp đào tạo song ngành hoặc kiểu ngành chính ngành phụ ctđt phải thể hiện rõ khối lượng học tập chung và riêng theo từng ngành
40,"các học phần trong ctđt được sắp xếp theo trình tự nhất định theo từng học kỳ của khóa đào tạo. đây là trình tự học mà nhà trường khuyến khích sinh viên thực hiện theo để đảm bảo việc tiếp thu kiến thức hiệu quả. đề cương chi tiết của từng học phần thể hiện rõ số lượng tín chỉ, điều kiện tiên quyết (nếu có), nội dung cần triển khai giảng dạy, học tập, cách thức đánh giá học phần, giáo trình, tài liệu tham khảo và các yêu cầu khác (nếu có) để thực hiện học phần.",Quy_Che_Quy_Dinh,100,các học phần trong ctđt được sắp xếp theo trình tự nhất định theo từng học kỳ của khóa đào tạo đây là trình tự học mà nhà trường khuyến khích sinh viên thực hiện theo để đảm bảo việc tiếp thu kiến thức hiệu quả đề cương chi tiết của từng học phần thể hiện rõ số lượng tín chỉ điều kiện tiên quyết nếu có nội dung cần triển khai giảng dạy học tập cách thức đánh giá học phần giáo trình tài liệu tham khảo và các yêu cầu khác nếu có để thực hiện học phần
41,thời gian đào tạo: thời gian kế hoạch của một khóa đào tạo (hay còn gọi là thời gian đào.,Quy_Che_Quy_Dinh,20,thời gian đào tạo thời gian kế hoạch của một khóa đào tạo hay còn gọi là thời gian đào
42,"thời gian kế hoạch của một khóa đào tạo (hay còn gọi là thời gian đào tạo chính thức hoặc thời gian chính khóa): là thời gian cần thiết để sinh viên hoàn thành một chương trình học tập cụ thể. thời gian kế hoạch được quy định cho mỗi chương trình đào tạo tương ứng của các hình thức đào tạo, cụ thể như sau:",Quy_Che_Quy_Dinh,66,thời gian kế hoạch của một khóa đào tạo hay còn gọi là thời gian đào tạo chính thức hoặc thời gian chính khóa là thời gian cần thiết để sinh viên hoàn thành một chương trình học tập cụ thể thời gian kế hoạch được quy định cho mỗi chương trình đào tạo tương ứng của các hình thức đào tạo cụ thể như sau
43,"đào tạo trình độ đại học chính quy văn bằng 1: thực hiện 3,5 - 5 năm;",Quy_Che_Quy_Dinh,17,đào tạo trình độ đại học chính quy văn bằng 1 thực hiện 3 5 5 năm
44,đào tạo trình độ đại học vừa làm vừa học văn bằng 1: thực hiện 4 - 5 năm;,Quy_Che_Quy_Dinh,18,đào tạo trình độ đại học vừa làm vừa học văn bằng 1 thực hiện 4 5 năm
45,"đào tạo từ xa trình độ đại học: thực hiện 4,5 năm;",Quy_Che_Quy_Dinh,13,đào tạo từ xa trình độ đại học thực hiện 4 5 năm
46,"đào tạo trình độ đại học liên thông từ trung cấp: thực hiện 2,5 - 3,5 năm;",Quy_Che_Quy_Dinh,18,đào tạo trình độ đại học liên thông từ trung cấp thực hiện 2 5 3 5 năm
47,"đào tạo trình độ đại học liên thông từ cao đẳng: thực hiện 1,5 - 2 năm;",Quy_Che_Quy_Dinh,17,đào tạo trình độ đại học liên thông từ cao đẳng thực hiện 1 5 2 năm
48,"đào tạo trình độ đại học liên thông đại học - đại học: thực hiện 2,5 - 3 năm.",Quy_Che_Quy_Dinh,18,đào tạo trình độ đại học liên thông đại học đại học thực hiện 2 5 3 năm
50,"trong những trường hợp đặc biệt, thời gian tối đa để sinh viên hoàn thành khóa học do hiệu trưởng xét duyệt nhưng không vượt quá hai lần thời gian học tập chính khóa đối với mỗi hình thức đào tạo.",Quy_Che_Quy_Dinh,41,trong những trường hợp đặc biệt thời gian tối đa để sinh viên hoàn thành khóa học do hiệu trưởng xét duyệt nhưng không vượt quá hai lần thời gian học tập chính khóa đối với mỗi hình thức đào tạo
51,"hình thức đào tạo bậc đại học đối với văn bằng 1 chính quy có thời gian đào tạo chính khóa là 3,5 năm thì thời gian học tại trường tối đa là 5,5 năm và tối thiểu là 3 năm.",Quy_Che_Quy_Dinh,43,hình thức đào tạo bậc đại học đối với văn bằng 1 chính quy có thời gian đào tạo chính khóa là 3 5 năm thì thời gian học tại trường tối đa là 5 5 năm và tối thiểu là 3 năm
52,hình thức đào tạo bậc đại học đối với văn bằng 1 chính quy có thời gian đào tạo chính khóa là 4 năm thì thời gian học tại trường tối đa là 6 năm và tối thiểu là 3 năm.,Quy_Che_Quy_Dinh,41,hình thức đào tạo bậc đại học đối với văn bằng 1 chính quy có thời gian đào tạo chính khóa là 4 năm thì thời gian học tại trường tối đa là 6 năm và tối thiểu là 3 năm
53,"hình thức đào tạo bậc đại học đối với văn bằng 1 chính quy có thời gian đào tạo chính khóa là 4,5 năm thì thời gian học tại trường tối đa là 7,5 năm và tối thiểu là 3,5 năm.",Quy_Che_Quy_Dinh,44,hình thức đào tạo bậc đại học đối với văn bằng 1 chính quy có thời gian đào tạo chính khóa là 4 5 năm thì thời gian học tại trường tối đa là 7 5 năm và tối thiểu là 3 5 năm
54,hình thức đào tạo bậc đại học đối với văn bằng 1 chính quy có thời gian đào tạo chính khóa là 5 năm thì thời gian học tại trường tối đa là 8 năm và tối thiểu là 4 năm.,Quy_Che_Quy_Dinh,41,hình thức đào tạo bậc đại học đối với văn bằng 1 chính quy có thời gian đào tạo chính khóa là 5 năm thì thời gian học tại trường tối đa là 8 năm và tối thiểu là 4 năm
55,hình thức đào tạo bậc đại học đối với văn bằng 1 vừa làm vừa học có thời gian đào tạo chính khóa là 4 năm thì thời gian học tại trường tối đa là 8 năm và tối thiểu là 3 năm.,Quy_Che_Quy_Dinh,43,hình thức đào tạo bậc đại học đối với văn bằng 1 vừa làm vừa học có thời gian đào tạo chính khóa là 4 năm thì thời gian học tại trường tối đa là 8 năm và tối thiểu là 3 năm
56,"hình thức đào tạo bậc đại học đối với văn bằng 1 vừa làm vừa học có thời gian đào tạo chính khóa là 4,5 năm thì thời gian học tại trường tối đa là 9 năm và tối thiểu là 3,5 năm.",Quy_Che_Quy_Dinh,45,hình thức đào tạo bậc đại học đối với văn bằng 1 vừa làm vừa học có thời gian đào tạo chính khóa là 4 5 năm thì thời gian học tại trường tối đa là 9 năm và tối thiểu là 3 5 năm
57,hình thức đào tạo bậc đại học đối với đào tạo từ xa có thời gian đào tạo chính khóa là 5 năm thì thời gian học tại trường tối đa là 10 năm và tối thiểu là 4 năm.,Quy_Che_Quy_Dinh,40,hình thức đào tạo bậc đại học đối với đào tạo từ xa có thời gian đào tạo chính khóa là 5 năm thì thời gian học tại trường tối đa là 10 năm và tối thiểu là 4 năm
58,"hình thức đào tạo bậc đại học đối với đào tạo từ xa có thời gian đào tạo chính khóa là 4,5 năm thì thời gian học tại trường tối đa là 8 năm và tối thiểu là 3,5 năm.",Quy_Che_Quy_Dinh,42,hình thức đào tạo bậc đại học đối với đào tạo từ xa có thời gian đào tạo chính khóa là 4 5 năm thì thời gian học tại trường tối đa là 8 năm và tối thiểu là 3 5 năm
59,"hình thức đào tạo bậc đại học đối với liên thông từ trung cấp có thời gian đào tạo chính khóa là 2,5 năm thì thời gian học tại trường tối đa là 5 năm và tối thiểu là 2 năm.",Quy_Che_Quy_Dinh,42,hình thức đào tạo bậc đại học đối với liên thông từ trung cấp có thời gian đào tạo chính khóa là 2 5 năm thì thời gian học tại trường tối đa là 5 năm và tối thiểu là 2 năm
60,"hình thức đào tạo bậc đại học đối với liên thông từ trung cấp có thời gian đào tạo chính khóa là 3 năm thì thời gian học tại trường tối đa là 6 năm và tối thiểu là 2,5 năm.",Quy_Che_Quy_Dinh,42,hình thức đào tạo bậc đại học đối với liên thông từ trung cấp có thời gian đào tạo chính khóa là 3 năm thì thời gian học tại trường tối đa là 6 năm và tối thiểu là 2 5 năm
61,"hình thức đào tạo bậc đại học đối với liên thông từ cao đẳng có thời gian đào tạo chính khóa là 3,5 năm thì thời gian học tại trường tối đa là 7 năm và tối thiểu là 3 năm.",Quy_Che_Quy_Dinh,42,hình thức đào tạo bậc đại học đối với liên thông từ cao đẳng có thời gian đào tạo chính khóa là 3 5 năm thì thời gian học tại trường tối đa là 7 năm và tối thiểu là 3 năm
62,"hình thức đào tạo bậc đại học đối với liên thông từ cao đẳng có thời gian đào tạo chính khóa là 1,5 năm thì thời gian học tại trường tối đa là 3 năm và tối thiểu là 1 năm.",Quy_Che_Quy_Dinh,42,hình thức đào tạo bậc đại học đối với liên thông từ cao đẳng có thời gian đào tạo chính khóa là 1 5 năm thì thời gian học tại trường tối đa là 3 năm và tối thiểu là 1 năm
63,"hình thức đào tạo bậc đại học đối với liên thông từ đại học có thời gian đào tạo chính khóa là 2 năm thì thời gian học tại trường tối đa là 4 năm và tối thiểu là 1,5 năm.",Quy_Che_Quy_Dinh,42,hình thức đào tạo bậc đại học đối với liên thông từ đại học có thời gian đào tạo chính khóa là 2 năm thì thời gian học tại trường tối đa là 4 năm và tối thiểu là 1 5 năm
64,"hình thức đào tạo bậc đại học đối với liên thông từ đại học có thời gian đào tạo chính khóa là 2,5 năm thì thời gian học tại trường tối đa là 5 năm và tối thiểu là 1,5 năm.",Quy_Che_Quy_Dinh,43,hình thức đào tạo bậc đại học đối với liên thông từ đại học có thời gian đào tạo chính khóa là 2 5 năm thì thời gian học tại trường tối đa là 5 năm và tối thiểu là 1 5 năm
65,hình thức đào tạo bậc đại học đối với liên thông từ đại học có thời gian đào tạo chính khóa là 3 năm thì thời gian học tại trường tối đa là 6 năm và tối thiểu là 2 năm.,Quy_Che_Quy_Dinh,41,hình thức đào tạo bậc đại học đối với liên thông từ đại học có thời gian đào tạo chính khóa là 3 năm thì thời gian học tại trường tối đa là 6 năm và tối thiểu là 2 năm
66,khóa học là thời gian thiết kế để sinh viên hoàn thành một chương trình đào tạo cụ thể.,Quy_Che_Quy_Dinh,19,khóa học là thời gian thiết kế để sinh viên hoàn thành một chương trình đào tạo cụ thể
67,năm học là khoảng thời gian học tập được tính từ ngày bắt đầu của năm học cho đến lúc kết thúc đợt nghỉ hè/học kỳ hè. năm học ở trường đại học công nghiệp thành phố hồ chí minh bao gồm hai học kỳ chính (gọi là học kỳ 1 và học kỳ 2) và một học kỳ phụ (gọi là học kỳ hè hoặc học kỳ 3).,Quy_Che_Quy_Dinh,70,năm học là khoảng thời gian học tập được tính từ ngày bắt đầu của năm học cho đến lúc kết thúc đợt nghỉ hè học kỳ hè năm học ở trường đại học công nghiệp thành phố hồ chí minh bao gồm hai học kỳ chính gọi là học kỳ 1 và học kỳ 2 và một học kỳ phụ gọi là học kỳ hè hoặc học kỳ 3
69,"tín chỉ là đơn vị dùng để đo lường khối lượng kiến thức, kỹ năng và kết quả học tập mà người học đã tích lũy được trong một khoảng thời gian nhất định.",Quy_Che_Quy_Dinh,34,tín chỉ là đơn vị dùng để đo lường khối lượng kiến thức kỹ năng và kết quả học tập mà người học đã tích lũy được trong một khoảng thời gian nhất định
70,"một tín chỉ được tính tương đương 50 giờ học tập của sinh viên, bao gồm cả thời gian dự giờ giảng, giờ học có hướng dẫn, tự học, nghiên cứu, trải nghiệm và dự kiểm tra, đánh giá;",Quy_Che_Quy_Dinh,39,một tín chỉ được tính tương đương 50 giờ học tập của sinh viên bao gồm cả thời gian dự giờ giảng giờ học có hướng dẫn tự học nghiên cứu trải nghiệm và dự kiểm tra đánh giá
71,"một tín chỉ được quy định bằng 15 tiết học lý thuyết; 30 tiết thực hành, thí nghiệm tại các phòng thực hành - thí nghiệm, phòng chuyên đề; 45 tiết làm chuyên đề, đồ án, khóa luận tốt nghiệp hoặc 60 giờ thực tập tại doanh nghiệp. một tiết học lý thuyết, thực hành có thời lượng 50 phút. trong các trường hợp khác, hiệu trưởng sẽ quy định thời lượng học tập của một tín chỉ.",Quy_Che_Quy_Dinh,77,một tín chỉ được quy định bằng 15 tiết học lý thuyết 30 tiết thực hành thí nghiệm tại các phòng thực hành thí nghiệm phòng chuyên đề 45 tiết làm chuyên đề đồ án khóa luận tốt nghiệp hoặc 60 giờ thực tập tại doanh nghiệp một tiết học lý thuyết thực hành có thời lượng 50 phút trong các trường hợp khác hiệu trưởng sẽ quy định thời lượng học tập của một tín chỉ
72,"học phần: là khối lượng kiến thức tương đối trọn vẹn, thuận tiện cho người học tích lũy trong quá trình học tập. học phần được bố trí giảng dạy và phân bố đều trong một học kỳ. nội dung của một học phần có thể là một lượng kiến thức độc lập, tương đối trọn vẹn hoặc được kết cấu dưới dạng tổ hợp từ nhiều học phần nhỏ hơn. mỗi học phần được ký hiệu bằng một mã riêng.",Quy_Che_Quy_Dinh,81,học phần là khối lượng kiến thức tương đối trọn vẹn thuận tiện cho người học tích lũy trong quá trình học tập học phần được bố trí giảng dạy và phân bố đều trong một học kỳ nội dung của một học phần có thể là một lượng kiến thức độc lập tương đối trọn vẹn hoặc được kết cấu dưới dạng tổ hợp từ nhiều học phần nhỏ hơn mỗi học phần được ký hiệu bằng một mã riêng
73,có hai loại học phần bao gồm: học phần bắt buộc và học phần tự chọn.,Quy_Che_Quy_Dinh,16,có hai loại học phần bao gồm học phần bắt buộc và học phần tự chọn
