STT,Contents,Labels
30,"các hoạt động giảng dạy được thực hiện tại trường hoặc tại cơ sở phối hợp đào tạo theo quy định liên kết đào tạo tại điều 16 của quy chế này, riêng những hoạt động thực hành, thực tập, trải nghiệm thực tế và giảng dạy trực tuyến có thể thực hiện ngoài trường hoặc cơ sở phối hợp đào tạo.",Quy_Che_Quy_Dinh
31,thời gian tổ chức hoạt động giảng dạy linh hoạt trong ngày và trong tuần.,Quy_Che_Quy_Dinh
32,"chương trình đào tạo trình độ đại học: là một chương trình bao gồm hệ thống các hoạt động giáo dục, đào tạo được thiết kế và tổ chức thực hiện nhằm đạt được các mục tiêu đào tạo, hướng tới cấp một văn bằng giáo dục đại học cho sinh viên.",Quy_Che_Quy_Dinh
33,nhà trường có các chương trình đào tạo sau:,Quy_Che_Quy_Dinh
34,"chương trình đào tạo chuẩn trình độ đại học (còn được gọi là chương trình chuẩn hoặc chương trình đại trà): được nhà trường xây dựng trên cơ sở đáp ứng đầy đủ các quy định hiện hành và mục tiêu đào tạo của iuh, được thực hiện giảng dạy, học tập chủ yếu bằng tiếng việt. chương trình chuẩn là cơ sở tham chiếu để xây dựng ctđt tăng cường tiếng anh, ctđt tiếng anh toàn phần và ctđt kỹ sư/cử nhân tài năng.",Quy_Che_Quy_Dinh
35,"ctđt tăng cường tiếng anh (còn gọi là ctđt chất lượng cao hoặc ctđt tiên tiến): được thực hiện giảng dạy, học tập bằng tiếng việt kết hợp với một số học phần được giảng dạy, học tập, kiểm tra, đánh giá và thi kết thúc học phần bằng tiếng anh. số lượng tín chỉ tối thiểu giảng dạy, học tập bằng tiếng anh là 20 tín chỉ.",Quy_Che_Quy_Dinh
36,"ctđt tiếng anh toàn phần: được thực hiện giảng dạy, học tập, kiểm tra, đánh giá và thi kết thúc học phần bằng tiếng anh, ngoại trừ các học phần lý luận chính trị, giáo dục thể chất, giáo dục quốc phòng và an ninh.",Quy_Che_Quy_Dinh
37,"ctđt kỹ sư/cử nhân tài năng: là chương trình đào tạo cử nhân, kỹ sư được thiết kế đặc thù cho sinh viên có thành tích học tập, rèn luyện, khả năng ngoại ngữ tốt và có tiềm năng nghiên cứu khoa học trong lĩnh vực đào tạo nhằm phát triển toàn diện kiến thức chuyên môn, kỹ năng nghề nghiệp và năng lực hội nhập quốc tế cho sinh viên sau khi tốt nghiệp.",Quy_Che_Quy_Dinh
38,"các yêu cầu về việc tuyển chọn sinh viên, tổ chức giảng dạy và học tập của ctđt kỹ sư/cử nhân tài năng được thực hiện theo quy định tổ chức đào tạo chương trình kỹ sư và cử nhân tài năng hiện hành của trường đại học công nghiệp thành phố hồ chí minh.",Quy_Che_Quy_Dinh
39,"chương trình đào tạo được xây dựng theo đơn vị tín chỉ, cấu trúc từ các môn học hoặc học phần (sau đây gọi chung là học phần), trong đó phải có đủ các học phần bắt buộc và đáp ứng chuẩn ctđt theo quy định hiện hành của bộ giáo dục và đào tạo. trong trường hợp đào tạo song ngành hoặc kiểu ngành chính - ngành phụ, ctđt phải thể hiện rõ khối lượng học tập chung và riêng theo từng ngành.",Quy_Che_Quy_Dinh
40,"các học phần trong ctđt được sắp xếp theo trình tự nhất định theo từng học kỳ của khóa đào tạo. đây là trình tự học mà nhà trường khuyến khích sinh viên thực hiện theo để đảm bảo việc tiếp thu kiến thức hiệu quả. đề cương chi tiết của từng học phần thể hiện rõ số lượng tín chỉ, điều kiện tiên quyết (nếu có), nội dung cần triển khai giảng dạy, học tập, cách thức đánh giá học phần, giáo trình, tài liệu tham khảo và các yêu cầu khác (nếu có) để thực hiện học phần.",Quy_Che_Quy_Dinh
41,thời gian đào tạo: thời gian kế hoạch của một khóa đào tạo (hay còn gọi là thời gian đào.,Quy_Che_Quy_Dinh
42,"thời gian kế hoạch của một khóa đào tạo (hay còn gọi là thời gian đào tạo chính thức hoặc thời gian chính khóa): là thời gian cần thiết để sinh viên hoàn thành một chương trình học tập cụ thể. thời gian kế hoạch được quy định cho mỗi chương trình đào tạo tương ứng của các hình thức đào tạo, cụ thể như sau:",Quy_Che_Quy_Dinh
43,"đào tạo trình độ đại học chính quy văn bằng 1: thực hiện 3,5 - 5 năm;",Quy_Che_Quy_Dinh
44,đào tạo trình độ đại học vừa làm vừa học văn bằng 1: thực hiện 4 - 5 năm;,Quy_Che_Quy_Dinh
45,"đào tạo từ xa trình độ đại học: thực hiện 4,5 năm;",Quy_Che_Quy_Dinh
46,"đào tạo trình độ đại học liên thông từ trung cấp: thực hiện 2,5 - 3,5 năm;",Quy_Che_Quy_Dinh
47,"đào tạo trình độ đại học liên thông từ cao đẳng: thực hiện 1,5 - 2 năm;",Quy_Che_Quy_Dinh
48,"đào tạo trình độ đại học liên thông đại học - đại học: thực hiện 2,5 - 3 năm.",Quy_Che_Quy_Dinh
49,thời gian tối đa và tối thiểu của một khóa đào tạo: là thời gian dài nhất và ngắn nhất mà mỗi sinh viên được phép tham gia học tập tại đại học công nghiệp thành phố hồ chí minh để hoàn thành khóa học của mình. mỗi sinh viên tùy theo điều kiện của bản thân có thể đăng ký học kéo dài hoặc rút ngắn so với thời gian kế hoạch nhưng không được vượt quá thời gian đào tạo tối đa cũng như không được tốt nghiệp trước khoảng thời gian tối thiểu tính từ khi sinh viên nhập học. nhà trường xác định thời gian tối đa và tối thiểu của mỗi hình thức đào tạo dựa trên thời gian chính khóa tương ứng.,Quy_Che_Quy_Dinh
50,"trong những trường hợp đặc biệt, thời gian tối đa để sinh viên hoàn thành khóa học do hiệu trưởng xét duyệt nhưng không vượt quá hai lần thời gian học tập chính khóa đối với mỗi hình thức đào tạo.",Quy_Che_Quy_Dinh
51,"hình thức đào tạo bậc đại học đối với văn bằng 1 chính quy có thời gian đào tạo chính khóa là 3,5 năm thì thời gian học tại trường tối đa là 5,5 năm và tối thiểu là 3 năm.",Quy_Che_Quy_Dinh
52,hình thức đào tạo bậc đại học đối với văn bằng 1 chính quy có thời gian đào tạo chính khóa là 4 năm thì thời gian học tại trường tối đa là 6 năm và tối thiểu là 3 năm.,Quy_Che_Quy_Dinh
53,"hình thức đào tạo bậc đại học đối với văn bằng 1 chính quy có thời gian đào tạo chính khóa là 4,5 năm thì thời gian học tại trường tối đa là 7,5 năm và tối thiểu là 3,5 năm.",Quy_Che_Quy_Dinh
54,hình thức đào tạo bậc đại học đối với văn bằng 1 chính quy có thời gian đào tạo chính khóa là 5 năm thì thời gian học tại trường tối đa là 8 năm và tối thiểu là 4 năm.,Quy_Che_Quy_Dinh
55,hình thức đào tạo bậc đại học đối với văn bằng 1 vừa làm vừa học có thời gian đào tạo chính khóa là 4 năm thì thời gian học tại trường tối đa là 8 năm và tối thiểu là 3 năm.,Quy_Che_Quy_Dinh
56,"hình thức đào tạo bậc đại học đối với văn bằng 1 vừa làm vừa học có thời gian đào tạo chính khóa là 4,5 năm thì thời gian học tại trường tối đa là 9 năm và tối thiểu là 3,5 năm.",Quy_Che_Quy_Dinh
57,hình thức đào tạo bậc đại học đối với đào tạo từ xa có thời gian đào tạo chính khóa là 5 năm thì thời gian học tại trường tối đa là 10 năm và tối thiểu là 4 năm.,Quy_Che_Quy_Dinh
58,"hình thức đào tạo bậc đại học đối với đào tạo từ xa có thời gian đào tạo chính khóa là 4,5 năm thì thời gian học tại trường tối đa là 8 năm và tối thiểu là 3,5 năm.",Quy_Che_Quy_Dinh
59,"hình thức đào tạo bậc đại học đối với liên thông từ trung cấp có thời gian đào tạo chính khóa là 2,5 năm thì thời gian học tại trường tối đa là 5 năm và tối thiểu là 2 năm.",Quy_Che_Quy_Dinh
60,"hình thức đào tạo bậc đại học đối với liên thông từ trung cấp có thời gian đào tạo chính khóa là 3 năm thì thời gian học tại trường tối đa là 6 năm và tối thiểu là 2,5 năm.",Quy_Che_Quy_Dinh
61,"hình thức đào tạo bậc đại học đối với liên thông từ cao đẳng có thời gian đào tạo chính khóa là 3,5 năm thì thời gian học tại trường tối đa là 7 năm và tối thiểu là 3 năm.",Quy_Che_Quy_Dinh
62,"hình thức đào tạo bậc đại học đối với liên thông từ cao đẳng có thời gian đào tạo chính khóa là 1,5 năm thì thời gian học tại trường tối đa là 3 năm và tối thiểu là 1 năm.",Quy_Che_Quy_Dinh
63,"hình thức đào tạo bậc đại học đối với liên thông từ đại học có thời gian đào tạo chính khóa là 2 năm thì thời gian học tại trường tối đa là 4 năm và tối thiểu là 1,5 năm.",Quy_Che_Quy_Dinh
64,"hình thức đào tạo bậc đại học đối với liên thông từ đại học có thời gian đào tạo chính khóa là 2,5 năm thì thời gian học tại trường tối đa là 5 năm và tối thiểu là 1,5 năm.",Quy_Che_Quy_Dinh
65,hình thức đào tạo bậc đại học đối với liên thông từ đại học có thời gian đào tạo chính khóa là 3 năm thì thời gian học tại trường tối đa là 6 năm và tối thiểu là 2 năm.,Quy_Che_Quy_Dinh
66,khóa học là thời gian thiết kế để sinh viên hoàn thành một chương trình đào tạo cụ thể.,Quy_Che_Quy_Dinh
67,năm học là khoảng thời gian học tập được tính từ ngày bắt đầu của năm học cho đến lúc kết thúc đợt nghỉ hè/học kỳ hè. năm học ở trường đại học công nghiệp thành phố hồ chí minh bao gồm hai học kỳ chính (gọi là học kỳ 1 và học kỳ 2) và một học kỳ phụ (gọi là học kỳ hè hoặc học kỳ 3).,Quy_Che_Quy_Dinh
68,"học kỳ là thời gian học tập ấn định cho các giai đoạn của một năm học, được phân chia theo kế hoạch đào tạo năm học hoặc theo nội dung của ctđt. thời gian tổng cộng cho hoạt động giảng dạy và đánh giá kết quả học tập của học kỳ chính được bố trí từ 19 đến 21 tuần và của học kỳ phụ từ 7 đến 8 tuần. sinh viên được đăng ký tham gia học kỳ phụ trên cơ sở tự nguyện và việc tổ chức học kỳ phụ của đại học công nghiệp thành phố hồ chí minh căn cứ vào tình hình cụ thể của từng năm học.",Quy_Che_Quy_Dinh
69,"tín chỉ là đơn vị dùng để đo lường khối lượng kiến thức, kỹ năng và kết quả học tập mà người học đã tích lũy được trong một khoảng thời gian nhất định.",Quy_Che_Quy_Dinh
70,"một tín chỉ được tính tương đương 50 giờ học tập của sinh viên, bao gồm cả thời gian dự giờ giảng, giờ học có hướng dẫn, tự học, nghiên cứu, trải nghiệm và dự kiểm tra, đánh giá;",Quy_Che_Quy_Dinh
71,"một tín chỉ được quy định bằng 15 tiết học lý thuyết; 30 tiết thực hành, thí nghiệm tại các phòng thực hành - thí nghiệm, phòng chuyên đề; 45 tiết làm chuyên đề, đồ án, khóa luận tốt nghiệp hoặc 60 giờ thực tập tại doanh nghiệp. một tiết học lý thuyết, thực hành có thời lượng 50 phút. trong các trường hợp khác, hiệu trưởng sẽ quy định thời lượng học tập của một tín chỉ.",Quy_Che_Quy_Dinh
72,"học phần: là khối lượng kiến thức tương đối trọn vẹn, thuận tiện cho người học tích lũy trong quá trình học tập. học phần được bố trí giảng dạy và phân bố đều trong một học kỳ. nội dung của một học phần có thể là một lượng kiến thức độc lập, tương đối trọn vẹn hoặc được kết cấu dưới dạng tổ hợp từ nhiều học phần nhỏ hơn. mỗi học phần được ký hiệu bằng một mã riêng.",Quy_Che_Quy_Dinh
73,có hai loại học phần bao gồm: học phần bắt buộc và học phần tự chọn.,Quy_Che_Quy_Dinh
74,học phần bắt buộc: là học phần chứa đựng những nội dung kiến thức chính yếu của mỗi chương trình và bắt buộc sinh viên phải tích lũy để đảm bảo mặt bằng trình độ đào tạo chung ở một cấp hoặc một chương trình đào tạo;,Quy_Che_Quy_Dinh
75,"học phần tự chọn: là học phần chứa đựng những nội dung kiến thức cần thiết, nhưng sinh viên được tự chọn theo hướng dẫn của nhà trường nhằm đa dạng hóa hướng chuyên môn hoặc được tùy ý lựa chọn để tích lũy đủ các kiến thức, kỹ năng phụ trợ theo quy định cho mỗi ctđt. học phần tự chọn trong mỗi học kỳ có thể được phân bổ trong một nhóm các môn học hoặc được chia thành nhiều nhóm. nếu học phần tự chọn chỉ có một nhóm thì sinh viên cần đăng ký học phần theo quy định của nhóm tự chọn. trong trường hợp học phần tự chọn được chia thành nhiều nhóm thì sinh viên cần đăng ký số tín chỉ trong mỗi nhóm tối thiểu bằng số tín chỉ yêu cầu của nhóm đó.",Quy_Che_Quy_Dinh
76,các cách thức tổ chức học phần như sau:,Quy_Che_Quy_Dinh
77,học phần tiên quyết: học phần a là học phần tiên quyết của học phần b khi điều kiện bắt buộc để đăng ký học học phần b là sinh viên đã đăng ký và học hoàn tất (với kết quả đạt) học phần a;,Quy_Che_Quy_Dinh
78,học phần học trước: học phần a là học phần học trước của học phần b khi điều kiện bắt buộc để đăng ký học học phần b là sinh viên đã đăng ký và học học phần a ở học kỳ trước đó (học hết nội dung chương trình và tham gia kỳ đánh giá cuối cùng nhưng có thể kết quả chưa đạt);,Quy_Che_Quy_Dinh
79,học phần song hành: học phần b là học phần song hành đối với học phần a khi điều kiện bắt buộc để đăng ký học học phần b là sinh viên đã đăng ký học học phần a. sinh viên được phép học học phần b đồng thời hoặc sau học phần a;,Quy_Che_Quy_Dinh
80,"học phần thay thế: học phần thay thế được sử dụng thay thế cho một học phần có trong chương trình đào tạo khóa trước nhưng khóa sau không còn tổ chức giảng dạy, hoặc là một học phần tự chọn thay cho một học phần tự chọn khác mà sinh viên học nhưng không đạt (điểm f); hoặc áp dụng cho những trường hợp: cùng một học phần nhưng số tín chỉ của học phần khóa sau khác với khóa trước;",Quy_Che_Quy_Dinh
81,"học phần tương đương: học phần tương đương là một hay một nhóm học phần thuộc chương trình đào tạo của một khóa, ngành khác đang tổ chức đào tạo tại trường hoặc trường khác, được phép tích lũy để thay cho một hay một nhóm học phần trong chương trình đào tạo của ngành đào tạo. học phần tương đương phải có nội dung giống ít nhất 75% và có số tín chỉ tương đương với học phần xem xét. các học phần tương đương hay nhóm học phần tương đương hoặc thay thế do đơn vị đào tạo quản lý chuyên môn đề xuất;",Quy_Che_Quy_Dinh
82,"học phần điều kiện: học phần mà sinh viên phải hoàn thành nhưng kết quả học không dùng để tính điểm trung bình chung tích lũy (đtbctl), bao gồm các học phần sau: giáo dục quốc phòng và an ninh, giáo dục thể chất và các học phần khác được quy định trong chương trình đào tạo;",Quy_Che_Quy_Dinh
83,"học phần tích lũy: học phần đã được đánh giá theo thang điểm chữ a+, a, b+, b, c+, c, d+, d. tổng số tín chỉ của các học phần này tính từ lúc bắt đầu khoá học đến thời điểm xét, được gọi là khối lượng kiến thức tích lũy.",Quy_Che_Quy_Dinh
84,lớp sinh viên và lớp học phần: lớp sinh viên: là lớp danh nghĩa được tổ chức cho sinh viên.,Quy_Che_Quy_Dinh
85,"lớp sinh viên: là lớp danh nghĩa được tổ chức cho sinh viên cùng khóa, cùng ngành để duy trì các sinh hoạt chính trị, xã hội và các sinh hoạt khác ngoài giờ học như: xét khen thưởng, kỷ luật, bình xét điểm rèn luyện của tập thể sinh viên. mỗi lớp sinh viên có một tên riêng gắn với đvđt, khóa đào tạo và do đvđt quản lý trong suốt quá trình học tập.",Quy_Che_Quy_Dinh
86,"lớp học phần: là lớp học được tổ chức theo từng học phần dựa trên kết quả đăng ký khối lượng học tập của sinh viên ở từng học kỳ, trong cùng thời điểm. mỗi lớp học phần được gắn một mã số riêng được quy định trong ctđt.",Quy_Che_Quy_Dinh
87,điểm trung bình chung tích lũy và điểm trung bình học lực:,Quy_Che_Quy_Dinh
88,"điểm trung bình chung tích lũy (đtbctl) là trung bình cộng có trọng số của điểm số các học phần đã học và đạt tính đến thời điểm được xét (tích lũy theo thời gian, theo học kỳ, theo năm học), trong đó trọng số là số tín chỉ của từng học phần. đtbctl là căn cứ để xét học bổng và xét tốt nghiệp.",Quy_Che_Quy_Dinh
89,"điểm trung bình học lực (đtbhl) là kết quả học tập của sinh viên trong một khoảng thời gian nhất định (học kỳ, năm học hoặc toàn khóa học). điểm tbhl được tính bằng cách lấy trung bình cộng có trọng số các điểm số của những học phần sinh viên đã học (bao gồm các môn học đạt, không đạt, bỏ học và được miễn thi). đtbhl là căn cứ để xếp loại học lực và thực hiện các nghiệp vụ học vụ.",Quy_Che_Quy_Dinh
90,kế hoạch và tổ chức đào tạo tổ chức đăng ký học phần khối lượng học tập.,Quy_Che_Quy_Dinh
91,tổ chức đăng ký học phần khối lượng học tập sinh viên phải đăng ký các học phần dự định.,Quy_Che_Quy_Dinh
92,khối lượng học tập sinh viên phải đăng ký các học phần dự định sẽ học trong học kỳ dựa.,Quy_Che_Quy_Dinh
93,"sinh viên phải đăng ký các học phần dự định sẽ học trong học kỳ dựa trên danh sách học phần được mở và điều kiện đăng ký của mỗi học phần, gồm: những học phần mới, một số học phần chưa đạt (để học lại, nếu có) và một số học phần đã đạt (để cải thiện điểm, nếu có).",Quy_Che_Quy_Dinh
94,khối lượng học tập mà mỗi sinh viên phải đăng ký trong mỗi học kỳ chính (trừ học kỳ cuối) tối thiểu là 12 tín chỉ và tối đa là 30 tín chỉ.,Quy_Che_Quy_Dinh
95,"riêng số tín chỉ tối thiểu để được xét học bổng khuyến khích học tập được quy định trong quy định về việc xét, cấp học bổng cho sinh viên đại học chính quy, học viên đang học tập, nghiên cứu tại trường đại học công nghiệp thành phố hồ chí minh.",Quy_Che_Quy_Dinh
96,"đăng ký học phần để thuận tiện cho sinh viên, các đvđt tiến hành đăng ký áp cứng cho sinh.",Quy_Che_Quy_Dinh
97,"để thuận tiện cho sinh viên, các đvđt tiến hành đăng ký áp cứng cho sinh viên đối với các lớp học phần bắt buộc theo niên giám, không bao gồm học phần thực tập doanh nghiệp và khóa luận tốt nghiệp. sinh viên phải theo dõi thông báo về việc đăng ký học phần của trường để nắm thông tin về các học phần sẽ mở trong học kỳ, xem thời khóa biểu của các lớp học phần đã được áp cứng và tiến hành đăng ký các học phần tự chọn qua cổng thông tin sinh viên. kết quả đăng ký học phần của mỗi sinh viên được thông báo trong tài khoản sinh viên trên website trường gồm: tên học phần, mã học phần, mã lớp học phần, số tín chỉ của mỗi học phần, lịch học của các học phần.",Quy_Che_Quy_Dinh
98,"tùy theo khả năng và điều kiện học tập của bản thân, sinh viên phải quyết định số lượng các học phần dự định sẽ học trong học kỳ đó. sinh viên có thể hủy học phần bắt buộc (đã áp cứng) và đăng ký bổ sung các học phần khác (nếu có nhu cầu) trong thời gian quy định. việc đăng ký các học phần ở mỗi học kỳ phải bảo đảm các điều kiện ràng buộc về tính tiên quyết, học phần học trước và học phần song hành (nếu có) được quy định trong từng ctđt cụ thể.",Quy_Che_Quy_Dinh
99,"sinh viên xem kết quả đăng ký học tập trên cổng thông tin sinh viên. nếu có vướng mắc, sinh viên liên hệ giáo vụ của đvđt để được giải quyết. trường hợp không thuộc thẩm quyền giải quyết, đvđt tổng hợp thông tin và gửi phiếu đề nghị giải quyết công việc để phòng đào tạo hỗ trợ.",Quy_Che_Quy_Dinh
100,đăng ký các học phần mở rộng sinh viên có nguyện vọng học các học phần mở rộng (học phần.,Quy_Che_Quy_Dinh
101,"sinh viên có nguyện vọng học các học phần mở rộng (học phần không có trong ctđt của ngành đang học) cần làm đơn đăng ký tại đvđt. nếu kết quả học đạt yêu cầu thì được cấp chứng nhận hoàn thành học phần đó và được bảo lưu kết quả trong 5 năm, tính từ ngày cấp chứng nhận.",Quy_Che_Quy_Dinh
102,học phí của học phần mở rộng không được miễn giảm.,Quy_Che_Quy_Dinh
103,học phần mở rộng không tính vào điểm trung bình chung tích lũy.,Quy_Che_Quy_Dinh
104,rút bớt các học phần sau khi đăng ký,Quy_Che_Quy_Dinh
105,sinh viên chỉ được rút bớt học phần đã đăng ký trước thời điểm khóa lớp học phần để tổ chức giảng dạy theo kế hoạch.,Quy_Che_Quy_Dinh
106,"sau khi các học phần đã được chấp nhận mở lớp để triển khai giảng dạy, sinh viên phải đóng học phí cho những học phần đã đăng ký. nếu không đóng học phí đúng thời hạn quy định, phần mềm quản lý đào tạo sẽ tự động hủy đăng ký tất cả các học phần mà sinh viên chưa đóng phí.",Quy_Che_Quy_Dinh
107,những học phần sinh viên đã đăng ký và đóng học phí mà không học thì được xem như tự ý bỏ học và phải nhận điểm f học phần đó.,Quy_Che_Quy_Dinh
108,"khi học phần đã được triển khai giảng dạy, nhà trường không chấp thuận cho sinh viên rút bớt các học phần và không giải quyết hoàn phí, rút phí.",Quy_Che_Quy_Dinh
109,"đăng ký học phần tự chọn, học lại và học cải thiện điểm",Quy_Che_Quy_Dinh
110,sinh viên có học phần bắt buộc bị điểm f phải đăng ký học lại học phần đó trong các học kỳ tiếp theo cho đến khi đạt. sinh viên phải thường xuyên theo dõi kế hoạch mở lớp học phần của nhà trường để chủ động đăng ký.,Quy_Che_Quy_Dinh
111,"sinh viên có học phần tự chọn bị điểm f phải đăng ký học lại học phần đó hoặc được đổi sang học phần tự chọn khác trong cùng một nhóm tự chọn, ở cùng học kỳ trong kế hoạch đào tạo.",Quy_Che_Quy_Dinh
112,sinh viên có quyền đăng ký các học phần tự chọn nhiều hơn số học phần tự chọn quy định trong cùng học kỳ và sẽ lấy các học phần tự chọn có điểm cao nhất để tính vào điểm tích lũy.,Quy_Che_Quy_Dinh
113,"ngoài các trường hợp quy định tại khoản 1, 2 và 3 điều này, sinh viên có học phần đạt điểm a, b+, b, c+, c, d+, d được phép đăng ký học cải thiện điểm.",Quy_Che_Quy_Dinh
114,"sau khi đã đăng ký và đóng học phí, sinh viên không được rút/hủy các học phần tự chọn và học phần cải thiện điểm.",Quy_Che_Quy_Dinh
115,quy định học vụ đối với sinh viên,Quy_Che_Quy_Dinh
116,điều 9: nghỉ học và vắng thi có phép,Quy_Che_Quy_Dinh
117,nghỉ học có phép: sinh viên xin nghỉ trong quá trình học thì phải nộp đơn xin phép có xác nhận của lãnh đạo đvđt trong vòng 1 tuần kể từ ngày nghỉ học. nếu sinh viên nghỉ học có phép vượt quá 20% tổng số tiết của học phần thì việc sinh viên được thi cuối kỳ hay không sẽ do giảng viên phụ trách học phần quyết định.,Quy_Che_Quy_Dinh
118,vắng thi cuối kỳ có phép: sinh viên vắng thi có lý do chính đáng được làm đơn xin vắng thi và xin thi cuối kỳ bổ sung.,Quy_Che_Quy_Dinh
119,sinh viên xin vắng thi có phép nộp đơn và minh chứng phù hợp về đvđt chủ quản học phần trong vòng 1 tuần kể từ ngày thi cuối kỳ.,Quy_Che_Quy_Dinh
120,nếu việc xin vắng thi có phép và xin thi cuối kỳ bổ sung được chấp thuận thì đvđt chủ quản học phần có trách nhiệm tổ chức cho sinh viên thi bổ sung trong thời hạn 30 ngày kể từ ngày thi chính thức của học phần đó.,Quy_Che_Quy_Dinh
121,"sinh viên không tham gia kỳ thi bổ sung do đvđt tổ chức thì việc vắng thi có phép hết hiệu lực, nghĩa là sinh viên không đạt học phần này và phải đăng ký học lại học phần.",Quy_Che_Quy_Dinh
