STT,Thông tin,Label,thong_tin_norm_vi,tokens_vi,thong_tin_final_vi
14,APSIPA 2025 – Diễn đàn quốc tế về Xử lý tín hiệu và Thông tin diễn ra tại IUH,Nghiên cứu,apsipa diễn đàn quốc tế về xử lý tín hiệu và thông tin diễn ra tại iuh,"['apsipa', 'diễn_đàn', 'quốc_tế', 'xử_lý', 'tín_hiệu', 'thông_tin', 'diễn', 'ra', 'iuh']",apsipa diễn_đàn quốc_tế xử_lý tín_hiệu thông_tin diễn ra iuh
15,Hội thảo Quốc gia ngành Hóa lần XI tại IUH: Gắn kết nghiên cứu với thực tiễn,Nghiên cứu,hội thảo quốc gia ngành hóa lần xi tại iuh gắn kết nghiên cứu với thực tiễn,"['hội_thảo', 'quốc_gia', 'ngành', 'hóa', 'lần', 'xi', 'iuh', 'gắn_kết', 'nghiên_cứu', 'thực_tiễn']",hội_thảo quốc_gia ngành hóa lần xi iuh gắn_kết nghiên_cứu thực_tiễn
16,"Hội thảo quốc gia 2025 về công nghệ số, kinh tế số tại Đại học Công nghiệp TP. HCM",Nghiên cứu,hội thảo quốc gia về công nghệ số kinh tế số tại đại học công nghiệp tp hcm,"['hội_thảo', 'quốc_gia', 'công_nghệ', 'số', 'kinh_tế', 'số', 'đại_học', 'công_nghiệp', 'tp', 'hcm']",hội_thảo quốc_gia công_nghệ số kinh_tế số đại_học công_nghiệp tp hcm
17,IUH Bass 2025 – Thu hút hàng trăm bài nghiên cứu khoa học,Nghiên cứu,iuh bass thu hút hàng trăm bài nghiên cứu khoa học,"['iuh', 'bass', 'thu_hút', 'hàng', 'trăm', 'bài', 'nghiên_cứu', 'khoa_học']",iuh bass thu_hút hàng trăm bài nghiên_cứu khoa_học
18,ICCSS 2025 và SSPS 2025: Hai hội nghị khoa học quốc tế quy tụ hơn 400 đại biểu tại IUH,Nghiên cứu,iccss và ssps hai hội nghị khoa học quốc tế quy tụ hơn đại biểu tại iuh,"['iccss', 'ssps', 'hai', 'hội_nghị', 'khoa_học', 'quốc_tế', 'quy_tụ', 'đại_biểu', 'iuh']",iccss ssps hai hội_nghị khoa_học quốc_tế quy_tụ đại_biểu iuh
19,Hội thảo khoa học cấp Trường: “Nâng cao chất lượng đào tạo – Thực trạng và giải pháp”,Nghiên cứu,hội thảo khoa học cấp trường nâng cao chất lượng đào tạo thực trạng và giải pháp,"['hội_thảo', 'khoa_học', 'cấp', 'trường', 'nâng', 'cao', 'chất_lượng', 'đào_tạo', 'thực_trạng', 'giải_pháp']",hội_thảo khoa_học cấp trường nâng cao chất_lượng đào_tạo thực_trạng giải_pháp
20,Hội nghị khoa học quốc tế BAIC 2025 lần 2 tại IUH - Sức mạnh AI trong quản trị,Nghiên cứu,hội nghị khoa học quốc tế baic lần tại iuh sức mạnh ai trong quản trị,"['hội_nghị', 'khoa_học', 'quốc_tế', 'baic', 'lần', 'iuh', 'sức_mạnh', 'ai', 'quản_trị']",hội_nghị khoa_học quốc_tế baic lần iuh sức_mạnh ai quản_trị
21,Lễ trao học bổng và Hội thảo công nghệ hiệu chỉnh ADAS tại Đại học Công nghiệp TP. HCM,Nghiên cứu,lễ trao học bổng và hội thảo công nghệ hiệu chỉnh adas tại đại học công nghiệp tp hcm,"['lễ', 'trao', 'học_bổng', 'hội_thảo', 'công_nghệ', 'hiệu_chỉnh', 'adas', 'đại_học', 'công_nghiệp', 'tp', 'hcm']",lễ trao học_bổng hội_thảo công_nghệ hiệu_chỉnh adas đại_học công_nghiệp tp hcm
22,Hội thảo Sinh viên Nghiên cứu Khoa học Khoa Công nghệ Nhiệt Lạnh lần thứ 5 – 2023,Nghiên cứu,hội thảo sinh viên nghiên cứu khoa học khoa công nghệ nhiệt lạnh lần thứ,"['hội_thảo', 'sinh_viên', 'nghiên_cứu', 'khoa_học_khoa', 'công_nghệ', 'nhiệt_lạnh', 'lần', 'thứ']",hội_thảo sinh_viên nghiên_cứu khoa_học_khoa công_nghệ nhiệt_lạnh lần thứ
23,Hội thảo Sinh viên Nghiên cứu khoa học Khoa Quản trị Kinh doanh lần thứ V – IUH BASS 2023,Nghiên cứu,hội thảo sinh viên nghiên cứu khoa học khoa quản trị kinh doanh lần thứ v iuh bass,"['hội_thảo', 'sinh_viên', 'nghiên_cứu', 'khoa_học_khoa', 'quản_trị', 'kinh_doanh', 'lần', 'thứ', 'iuh', 'bass']",hội_thảo sinh_viên nghiên_cứu khoa_học_khoa quản_trị kinh_doanh lần thứ iuh bass
24,Hội nghị Khoa học trẻ IUH lần 4 năm 2022 - Nơi ươm mầm cho đam mê nghiên cứu khoa học,Nghiên cứu,hội nghị khoa học trẻ iuh lần năm nơi ươm mầm cho đam mê nghiên cứu khoa học,"['hội_nghị', 'khoa_học', 'trẻ', 'iuh', 'lần', 'năm', 'nơi', 'ươm', 'mầm', 'đam_mê', 'nghiên_cứu', 'khoa_học']",hội_nghị khoa_học trẻ iuh lần năm nơi ươm mầm đam_mê nghiên_cứu khoa_học
25,Lễ công bố Quyết định thành lập và ra mắt các nhóm nghiên cứu của Trường Đại học Công nghiệp TP. Hồ Chí Minh,Nghiên cứu,lễ công bố quyết định thành lập và ra mắt các nhóm nghiên cứu của trường đại học công nghiệp tp hồ chí minh,"['lễ', 'công_bố', 'quyết_định', 'thành_lập', 'ra_mắt', 'nhóm', 'nghiên_cứu', 'trường', 'đại_học', 'công_nghiệp', 'tp', 'hồ', 'chí_minh']",lễ công_bố quyết_định thành_lập ra_mắt nhóm nghiên_cứu trường đại_học công_nghiệp tp hồ chí_minh
26,Hội thảo Khoa học Khởi nghiệp - Đổi mới sáng tạo năm 2021,Nghiên cứu,hội thảo khoa học khởi nghiệp đổi mới sáng tạo năm,"['hội_thảo', 'khoa_học', 'khởi_nghiệp', 'đổi_mới', 'sáng_tạo', 'năm']",hội_thảo khoa_học khởi_nghiệp đổi_mới sáng_tạo năm
27,Nhóm nghiên cứu - Chìa khoá thúc đẩy nghiên cứu khoa học tại IUH,Nghiên cứu,nhóm nghiên cứu chìa khoá thúc đẩy nghiên cứu khoa học tại iuh,"['nhóm', 'nghiên_cứu', 'chìa', 'khóa', 'thúc_đẩy', 'nghiên_cứu', 'khoa_học', 'iuh']",nhóm nghiên_cứu chìa khóa thúc_đẩy nghiên_cứu khoa_học iuh
28,Hội thảo khoa học lần 3: Sinh viên với xu hướng phát triển ngành kỹ thuật nhiệt trong thời đại 4.0,Nghiên cứu,hội thảo khoa học lần sinh viên với xu hướng phát triển ngành kỹ thuật nhiệt trong thời đại,"['hội_thảo', 'khoa_học', 'lần', 'sinh_viên', 'xu_hướng', 'phát_triển', 'ngành', 'kỹ_thuật', 'nhiệt', 'thời_đại']",hội_thảo khoa_học lần sinh_viên xu_hướng phát_triển ngành kỹ_thuật nhiệt thời_đại
29,Hội thảo các nghiên cứu tiên tiến trong khoa học nhiệt và lưu chất,Nghiên cứu,hội thảo các nghiên cứu tiên tiến trong khoa học nhiệt và lưu chất,"['hội_thảo', 'nghiên_cứu', 'tiên_tiến', 'khoa_học_nhiệt', 'lưu_chất']",hội_thảo nghiên_cứu tiên_tiến khoa_học_nhiệt lưu_chất
30,"Hội nghị Khoa học trẻ lần 3 năm 2021: ""Tri thức trẻ thời đại 4.0""",Nghiên cứu,hội nghị khoa học trẻ lần năm tri thức trẻ thời đại,"['hội_nghị', 'khoa_học', 'trẻ', 'lần', 'năm', 'tri_thức', 'trẻ', 'thời_đại']",hội_nghị khoa_học trẻ lần năm tri_thức trẻ thời_đại
31,Hội thảo nghiên cứu khoa học sinh viên Khoa Quản trị kinh doanh - IUHBASS III,Nghiên cứu,hội thảo nghiên cứu khoa học sinh viên khoa quản trị kinh doanh iuhbass iii,"['hội_thảo', 'nghiên_cứu', 'khoa_học_sinh_viên', 'khoa', 'quản_trị', 'kinh_doanh', 'iuhbass', 'iii']",hội_thảo nghiên_cứu khoa_học_sinh_viên khoa quản_trị kinh_doanh iuhbass iii
32,Hội thảo nghiên cứu khoa học sinh viên - Khoa Thương mại và Du lịch lần thứ 2 năm 2021,Nghiên cứu,hội thảo nghiên cứu khoa học sinh viên khoa thương mại và du lịch lần thứ năm,"['hội_thảo', 'nghiên_cứu', 'khoa_học_sinh_viên', 'khoa', 'thương_mại', 'du_lịch', 'lần', 'thứ', 'năm']",hội_thảo nghiên_cứu khoa_học_sinh_viên khoa thương_mại du_lịch lần thứ năm
33,Thông báo v/v gia hạn thời gian nộp bài báo Hội nghị Khoa học trẻ lần 3 năm 2021,Nghiên cứu,thông báo v v gia hạn thời gian nộp bài báo hội nghị khoa học trẻ lần năm,"['thông_báo', 'gia_hạn', 'thời_gian', 'nộp', 'bài', 'báo', 'hội_nghị', 'khoa_học', 'trẻ', 'lần', 'năm']",thông_báo gia_hạn thời_gian nộp bài báo hội_nghị khoa_học trẻ lần năm
34,Kế hoạch tổ chức Hội nghị Khoa học trẻ lần thứ 3 - năm 2021,Nghiên cứu,kế hoạch tổ chức hội nghị khoa học trẻ lần thứ năm,"['kế_hoạch', 'tổ_chức', 'hội_nghị', 'khoa_học', 'trẻ', 'lần', 'thứ', 'năm']",kế_hoạch tổ_chức hội_nghị khoa_học trẻ lần thứ năm
35,Thông báo v/v gia hạn thời gian nhận bài tham gia Hội nghị Khoa học trẻ 2020,Nghiên cứu,thông báo v v gia hạn thời gian nhận bài tham gia hội nghị khoa học trẻ,"['thông_báo', 'gia_hạn', 'thời_gian', 'nhận', 'bài', 'tham_gia', 'hội_nghị', 'khoa_học', 'trẻ']",thông_báo gia_hạn thời_gian nhận bài tham_gia hội_nghị khoa_học trẻ
36,Hội thảo quốc tế Hoá học và Ứng dụng năm 2020,Nghiên cứu,hội thảo quốc tế hoá học và ứng dụng năm,"['hội_thảo', 'quốc_tế', 'hóa_học', 'ứng_dụng', 'năm']",hội_thảo quốc_tế hóa_học ứng_dụng năm
37,Hội thảo Sinh viên nghiên cứu khoa học Khoa Quản trị kinh doanh lần 2 - năm 2020,Nghiên cứu,hội thảo sinh viên nghiên cứu khoa học khoa quản trị kinh doanh lần năm,"['hội_thảo', 'sinh_viên', 'nghiên_cứu', 'khoa_học_khoa', 'quản_trị', 'kinh_doanh', 'lần', 'năm']",hội_thảo sinh_viên nghiên_cứu khoa_học_khoa quản_trị kinh_doanh lần năm
38,Kế hoạch tổ chức Hội nghị Khoa học trẻ lần 2 - năm 2020,Nghiên cứu,kế hoạch tổ chức hội nghị khoa học trẻ lần năm,"['kế_hoạch', 'tổ_chức', 'hội_nghị', 'khoa_học', 'trẻ', 'lần', 'năm']",kế_hoạch tổ_chức hội_nghị khoa_học trẻ lần năm
39,IUH tổ chức thành công các sự kiện học thuật và đào tạo với các nhà khoa học từ châu Âu,Nghiên cứu,iuh tổ chức thành công các sự kiện học thuật và đào tạo với các nhà khoa học từ châu âu,"['iuh', 'tổ_chức', 'thành_công', 'sự_kiện', 'học_thuật', 'đào_tạo', 'nhà_khoa_học', 'châu_âu']",iuh tổ_chức thành_công sự_kiện học_thuật đào_tạo nhà_khoa_học châu_âu
40,IUH: 10 tỷ đồng cho hoạt động sáng tạo và khởi nghiệp của sinh viên,Nghiên cứu,iuh tỷ đồng cho hoạt động sáng tạo và khởi nghiệp của sinh viên,"['iuh', 'tỷ', 'đồng', 'hoạt_động', 'sáng_tạo', 'khởi_nghiệp', 'sinh_viên']",iuh tỷ đồng hoạt_động sáng_tạo khởi_nghiệp sinh_viên
41,Tổng hợp các bài báo quốc tế 2012-2019,Nghiên cứu,tổng hợp các bài báo quốc tế,"['tổng_hợp', 'bài', 'báo', 'quốc_tế']",tổng_hợp bài báo quốc_tế
42,Hội thảo khoa học quốc tế Ứng dụng vi tảo trong xử lý môi trường nước thả,Nghiên cứu,hội thảo khoa học quốc tế ứng dụng vi tảo trong xử lý môi trường nước thả,"['hội_thảo', 'khoa_học', 'quốc_tế', 'ứng_dụng', 'vi_tảo', 'xử_lý', 'môi_trường', 'nước', 'thả']",hội_thảo khoa_học quốc_tế ứng_dụng vi_tảo xử_lý môi_trường nước thả
43,IUH tổ chức Hội thảo quốc tế ICAFB & ICELT 2019,Nghiên cứu,iuh tổ chức hội thảo quốc tế icafb icelt,"['iuh', 'tổ_chức', 'hội_thảo', 'quốc_tế', 'icafb', 'icelt']",iuh tổ_chức hội_thảo quốc_tế icafb icelt
44,Kế hoạch tổ chức Hội nghị khoa học trẻ lần 1 năm 2019,Nghiên cứu,kế hoạch tổ chức hội nghị khoa học trẻ lần năm,"['kế_hoạch', 'tổ_chức', 'hội_nghị', 'khoa_học', 'trẻ', 'lần', 'năm']",kế_hoạch tổ_chức hội_nghị khoa_học trẻ lần năm
45,Giảng viên và sinh viên Khoa CNTT tham gia tích cực AWS Educate Vietnam Championship – Dự án BUILD-IT,Nghiên cứu,giảng viên và sinh viên khoa cntt tham gia tích cực aws educate vietnam championship dự án build it,"['giảng_viên', 'sinh_viên', 'khoa', 'cntt', 'tham_gia', 'tích_cực', 'aws', 'educate', 'vietnam', 'championship', 'dự_án', 'build', 'it']",giảng_viên sinh_viên khoa cntt tham_gia tích_cực aws educate vietnam championship dự_án build it
46,Tạp chí Khoa học và Công nghệ - Số 29 (05-2017),Nghiên cứu,tạp chí khoa học và công nghệ số,"['tạp_chí', 'khoa_học', 'công_nghệ', 'số']",tạp_chí khoa_học công_nghệ số
47,Tạp chí Khoa học và Công nghệ - Số 27 (03-2017),Nghiên cứu,tạp chí khoa học và công nghệ số,"['tạp_chí', 'khoa_học', 'công_nghệ', 'số']",tạp_chí khoa_học công_nghệ số
48,Hội nghị khoa học quốc tế về An ninh lương thực và phát triển bền vững 2017 - ISFS2017,Nghiên cứu,hội nghị khoa học quốc tế về an ninh lương thực và phát triển bền vững isfs,"['hội_nghị', 'khoa_học', 'quốc_tế', 'an_ninh', 'lương_thực', 'phát_triển', 'bền_vững', 'isfs']",hội_nghị khoa_học quốc_tế an_ninh lương_thực phát_triển bền_vững isfs
49,Tạp chí Khoa học và Công nghệ - Số 26 (02-2017),Nghiên cứu,tạp chí khoa học và công nghệ số,"['tạp_chí', 'khoa_học', 'công_nghệ', 'số']",tạp_chí khoa_học công_nghệ số
50,Tạp chí Khoa học và Công nghệ - Số 25 (01-2017),Nghiên cứu,tạp chí khoa học và công nghệ số,"['tạp_chí', 'khoa_học', 'công_nghệ', 'số']",tạp_chí khoa_học công_nghệ số
51,Công bố quốc tế ISI của các đại học Việt Nam trong năm học 2016-2017,Nghiên cứu,công bố quốc tế isi của các đại học việt nam trong năm học,"['công_bố', 'quốc_tế', 'isi', 'đại_học', 'việt_nam', 'năm_học']",công_bố quốc_tế isi đại_học việt_nam năm_học
52,Tạp chí Khoa học và Công nghệ - Số 24 (03-2016),Nghiên cứu,tạp chí khoa học và công nghệ số,"['tạp_chí', 'khoa_học', 'công_nghệ', 'số']",tạp_chí khoa_học công_nghệ số
53,Thành lập Văn phòng đại diện Hội Nghiên cứu Biên tập Công trình Khoa học và Công nghệ Việt Nam tại Thành phố Hồ Chí Minh,Nghiên cứu,thành lập văn phòng đại diện hội nghiên cứu biên tập công trình khoa học và công nghệ việt nam tại thành phố hồ chí minh,"['thành_lập', 'văn_phòng', 'đại_diện', 'hội', 'nghiên_cứu', 'biên_tập', 'công_trình', 'khoa_học', 'công_nghệ', 'việt_nam', 'thành_phố', 'hồ', 'chí_minh']",thành_lập văn_phòng đại_diện hội nghiên_cứu biên_tập công_trình khoa_học công_nghệ việt_nam thành_phố hồ chí_minh
54,Tạp chí Khoa học và Công nghệ - Số 23 (02-2016),Nghiên cứu,tạp chí khoa học và công nghệ số,"['tạp_chí', 'khoa_học', 'công_nghệ', 'số']",tạp_chí khoa_học công_nghệ số
55,Thông báo kết quả xét duyệt bài báo tham dự Hội nghị Khoa học Quốc tế ICATSD2016,Nghiên cứu,thông báo kết quả xét duyệt bài báo tham dự hội nghị khoa học quốc tế icatsd,"['thông_báo', 'kết_quả', 'xét_duyệt', 'bài', 'báo', 'tham_dự', 'hội_nghị', 'khoa_học', 'quốc_tế', 'icatsd']",thông_báo kết_quả xét_duyệt bài báo tham_dự hội_nghị khoa_học quốc_tế icatsd
56,Giấy phép hoạt động Tạp chí Khoa học và Công nghệ - Trường Đại học Công nghiệp TP.HCM,Nghiên cứu,giấy phép hoạt động tạp chí khoa học và công nghệ trường đại học công nghiệp tp hcm,"['giấy_phép', 'hoạt_động', 'tạp_chí', 'khoa_học', 'công_nghệ', 'trường', 'đại_học', 'công_nghiệp', 'tp', 'hcm']",giấy_phép hoạt_động tạp_chí khoa_học công_nghệ trường đại_học công_nghiệp tp hcm
57,Sinh viên Trường ĐH Công nghiệp TPHCM xuất sắc dẫn đầu lĩnh vực kỹ thuật và môi trường Euréka 2015,Nghiên cứu,sinh viên trường đh công nghiệp tphcm xuất sắc dẫn đầu lĩnh vực kỹ thuật và môi trường euréka,"['sinh_viên', 'trường', 'đh', 'công_nghiệp', 'tphcm', 'xuất_sắc', 'dẫn_đầu', 'lĩnh_vực', 'kỹ_thuật', 'môi_trường', 'euréka']",sinh_viên trường đh công_nghiệp tphcm xuất_sắc dẫn_đầu lĩnh_vực kỹ_thuật môi_trường euréka
58,"Lễ tuyên dương “Nhà giáo trẻ tiêu biểu” và “Sinh viên nghiên cứu khoa học Euréka”, “Sinh viên 5 tốt” năm học 2014-2015",Nghiên cứu,lễ tuyên dương nhà giáo trẻ tiêu biểu và sinh viên nghiên cứu khoa học euréka sinh viên tốt năm học,"['lễ', 'tuyên_dương', 'nhà_giáo', 'trẻ', 'tiêu_biểu', 'sinh_viên', 'nghiên_cứu', 'khoa_học', 'euréka', 'sinh_viên', 'tốt', 'năm_học']",lễ tuyên_dương nhà_giáo trẻ tiêu_biểu sinh_viên nghiên_cứu khoa_học euréka sinh_viên tốt năm_học
59,Hội thảo khoa học “Nâng cao chất lượng đào tạo và nghiên cứu khoa học trong điều kiện tự chủ tại Trường Đại học Công nghiệp TPHCM”,Nghiên cứu,hội thảo khoa học nâng cao chất lượng đào tạo và nghiên cứu khoa học trong điều kiện tự chủ tại trường đại học công nghiệp tphcm,"['hội_thảo', 'khoa_học', 'nâng', 'cao', 'chất_lượng', 'đào_tạo', 'nghiên_cứu', 'khoa_học', 'điều_kiện', 'tự_chủ', 'trường', 'đại_học', 'công_nghiệp', 'tphcm']",hội_thảo khoa_học nâng cao chất_lượng đào_tạo nghiên_cứu khoa_học điều_kiện tự_chủ trường đại_học công_nghiệp tphcm
60,Ra mắt Câu lạc bộ Nghiên cứu trẻ,Nghiên cứu,ra mắt câu lạc bộ nghiên cứu trẻ,"['ra_mắt', 'câu_lạc_bộ', 'nghiên_cứu', 'trẻ']",ra_mắt câu_lạc_bộ nghiên_cứu trẻ
61,Trung tâm R&D Tech - Đại học Công nghiệp TPHCM nhận bằng khen của UBND TPHCM nhân Ngày khoa học và công nghệ Việt Nam 18/5,Nghiên cứu,trung tâm r d tech đại học công nghiệp tphcm nhận bằng khen của ubnd tphcm nhân ngày khoa học và công nghệ việt nam,"['trung_tâm', 'tech', 'đại_học', 'công_nghiệp', 'tphcm', 'nhận', 'bằng', 'khen', 'ubnd', 'tphcm_nhân', 'ngày', 'khoa_học', 'công_nghệ', 'việt_nam']",trung_tâm tech đại_học công_nghiệp tphcm nhận bằng khen ubnd tphcm_nhân ngày khoa_học công_nghệ việt_nam
62,Sinh viên Trường Đại học Công nghiệp TPHCM chế tạo hệ thống lọc nước chỉ 10.000 đồng,Nghiên cứu,sinh viên trường đại học công nghiệp tphcm chế tạo hệ thống lọc nước chỉ đồng,"['sinh_viên', 'trường', 'đại_học', 'công_nghiệp', 'tphcm', 'chế_tạo', 'hệ_thống', 'lọc', 'nước', 'chỉ', 'đồng']",sinh_viên trường đại_học công_nghiệp tphcm chế_tạo hệ_thống lọc nước chỉ đồng
63,Trường Đại học Công nghiệp TP. HCM kết hợp với Đại học Quốc lập Nghị Lam – Đài Loan tổ chức hội thảo khoa học.,Nghiên cứu,trường đại học công nghiệp tp hcm kết hợp với đại học quốc lập nghị lam đài loan tổ chức hội thảo khoa học,"['trường', 'đại_học', 'công_nghiệp', 'tp', 'hcm', 'kết_hợp', 'đại_học', 'quốc_lập', 'nghị_lam', 'đài_loan', 'tổ_chức', 'hội_thảo', 'khoa_học']",trường đại_học công_nghiệp tp hcm kết_hợp đại_học quốc_lập nghị_lam đài_loan tổ_chức hội_thảo khoa_học
64,"Hội nghị Quốc tế về Đổi mới Sáng tạo trong Công nghệ và Giáo dục - ICITE 2025 đã lần đầu tiên diễn ra tại Việt Nam, với sự đăng cai của Đại học Công nghiệp TP.HCM (IUH).",Nghiên cứu,hội nghị quốc tế về đổi mới sáng tạo trong công nghệ và giáo dục icite đã lần đầu tiên diễn ra tại việt nam với sự đăng cai của đại học công nghiệp tp hcm iuh,"['hội_nghị', 'quốc_tế', 'đổi_mới', 'sáng_tạo', 'công_nghệ', 'giáo_dục', 'icite', 'lần', 'đầu_tiên', 'diễn', 'ra', 'việt_nam', 'sự', 'đăng_cai', 'đại_học', 'công_nghiệp', 'tp', 'hcm', 'iuh']",hội_nghị quốc_tế đổi_mới sáng_tạo công_nghệ giáo_dục icite lần đầu_tiên diễn ra việt_nam sự đăng_cai đại_học công_nghiệp tp hcm iuh
