STT,Thông tin,Label,thong_tin_norm_vi,tokens_vi,thong_tin_final_vi,STT,information,Label,thong_tin_norm_en,tokens_en,thong_tin_final_en
11,Khép lại chuỗi Seminar ứng dụng AI: IUH nâng cao năng lực số cho giảng viên,Nghiên cứu,khép lại chuỗi seminar ứng dụng ai iuh nâng cao năng lực số cho giảng viên,"['khép', 'chuỗi', 'seminar', 'ứng_dụng', 'ai', 'iuh', 'nâng', 'cao', 'năng_lực', 'số', 'giảng_viên']",khép chuỗi seminar ứng_dụng ai iuh nâng cao năng_lực số giảng_viên,11,IUH deploys strategic management simulation training with PriME SIM software,Nghiên cứu,iuh deploys strategic management simulation training with prime sim software,"['iuh', 'deploy', 'strategic', 'management', 'simulation', 'training', 'prime', 'sim', 'software']",iuh deploy strategic management simulation training prime sim software
12,Chào đón mùa 2 Dự án “Kết nối Tri thức ” của Quỹ Eurasia tại IUH,Nghiên cứu,chào đón mùa dự án kết nối tri thức của quỹ eurasia tại iuh,"['chào_đón', 'mùa', 'dự_án', 'kết_nối', 'tri_thức', 'quỹ', 'eurasia', 'iuh']",chào_đón mùa dự_án kết_nối tri_thức quỹ eurasia iuh,12,APSIPA 2025 – International Forum on Signal and Information Processing takes place at IUH,Nghiên cứu,apsipa international forum on signal and information processing takes place at iuh,"['apsipa', 'international', 'forum', 'signal', 'information', 'processing', 'take', 'place', 'iuh']",apsipa international forum signal information processing take place iuh
13,IUH triển khai tập huấn mô phỏng quản trị chiến lược với phần mềm PriME SIM,Nghiên cứu,iuh triển khai tập huấn mô phỏng quản trị chiến lược với phần mềm prime sim,"['iuh', 'triển_khai', 'tập_huấn', 'mô_phỏng', 'quản_trị', 'chiến_lược', 'phần_mềm', 'prime', 'sim']",iuh triển_khai tập_huấn mô_phỏng quản_trị chiến_lược phần_mềm prime sim,13,11th National Conference on Chemistry at IUH: Linking research with practice,Nghiên cứu,th national conference on chemistry at iuh linking research with practice,"['national', 'conference', 'chemistry', 'iuh', 'link', 'research', 'practice']",national conference chemistry iuh link research practice
14,APSIPA 2025 – Diễn đàn quốc tế về Xử lý tín hiệu và Thông tin diễn ra tại IUH,Nghiên cứu,apsipa diễn đàn quốc tế về xử lý tín hiệu và thông tin diễn ra tại iuh,"['apsipa', 'diễn_đàn', 'quốc_tế', 'xử_lý', 'tín_hiệu', 'thông_tin', 'diễn', 'ra', 'iuh']",apsipa diễn_đàn quốc_tế xử_lý tín_hiệu thông_tin diễn ra iuh,14,IUH Bass 2025 – Attracting hundreds of scientific research articles,Nghiên cứu,iuh bass attracting hundreds of scientific research articles,"['iuh', 'bass', 'attract', 'hundred', 'scientific', 'research', 'article']",iuh bass attract hundred scientific research article
15,Hội thảo Quốc gia ngành Hóa lần XI tại IUH: Gắn kết nghiên cứu với thực tiễn,Nghiên cứu,hội thảo quốc gia ngành hóa lần xi tại iuh gắn kết nghiên cứu với thực tiễn,"['hội_thảo', 'quốc_gia', 'ngành', 'hóa', 'lần', 'xi', 'iuh', 'gắn_kết', 'nghiên_cứu', 'thực_tiễn']",hội_thảo quốc_gia ngành hóa lần xi iuh gắn_kết nghiên_cứu thực_tiễn,15,ICCSS 2025 and SSPS 2025: Two international scientific conferences gathering more than 400 delegates at IUH,Nghiên cứu,iccss and ssps two international scientific conferences gathering more than delegates at iuh,"['iccss', 'ssps', 'two', 'international', 'scientific', 'conference', 'gather', 'delegate', 'iuh']",iccss ssps two international scientific conference gather delegate iuh
16,"Hội thảo quốc gia 2025 về công nghệ số, kinh tế số tại Đại học Công nghiệp TP. HCM",Nghiên cứu,hội thảo quốc gia về công nghệ số kinh tế số tại đại học công nghiệp tp hcm,"['hội_thảo', 'quốc_gia', 'công_nghệ', 'số', 'kinh_tế', 'số', 'đại_học', 'công_nghiệp', 'tp', 'hcm']",hội_thảo quốc_gia công_nghệ số kinh_tế số đại_học công_nghiệp tp hcm,16,"School-level scientific conference: ""Improving training quality - Current status and solutions""",Nghiên cứu,school level scientific conference improving training quality current status and solutions,"['school', 'level', 'scientific', 'conference', 'improve', 'train', 'quality', 'current', 'status', 'solution']",school level scientific conference improve train quality current status solution
17,IUH Bass 2025 – Thu hút hàng trăm bài nghiên cứu khoa học,Nghiên cứu,iuh bass thu hút hàng trăm bài nghiên cứu khoa học,"['iuh', 'bass', 'thu_hút', 'hàng', 'trăm', 'bài', 'nghiên_cứu', 'khoa_học']",iuh bass thu_hút hàng trăm bài nghiên_cứu khoa_học,17,The 2nd BAIC 2025 international scientific conference at IUH - The power of AI in management,Nghiên cứu,the nd baic international scientific conference at iuh the power of ai in management,"['baic', 'international', 'scientific', 'conference', 'iuh', 'power', 'management']",baic international scientific conference iuh power management
18,ICCSS 2025 và SSPS 2025: Hai hội nghị khoa học quốc tế quy tụ hơn 400 đại biểu tại IUH,Nghiên cứu,iccss và ssps hai hội nghị khoa học quốc tế quy tụ hơn đại biểu tại iuh,"['iccss', 'ssps', 'hai', 'hội_nghị', 'khoa_học', 'quốc_tế', 'quy_tụ', 'đại_biểu', 'iuh']",iccss ssps hai hội_nghị khoa_học quốc_tế quy_tụ đại_biểu iuh,18,The 5th Student Scientific Research Conference of the Faculty of Business Administration - IUH BASS 2023,Nghiên cứu,the th student scientific research conference of the faculty of business administration iuh bass,"['student', 'scientific', 'research', 'conference', 'faculty', 'business', 'administration', 'iuh', 'bass']",student scientific research conference faculty business administration iuh bass
19,Hội thảo khoa học cấp Trường: “Nâng cao chất lượng đào tạo – Thực trạng và giải pháp”,Nghiên cứu,hội thảo khoa học cấp trường nâng cao chất lượng đào tạo thực trạng và giải pháp,"['hội_thảo', 'khoa_học', 'cấp', 'trường', 'nâng', 'cao', 'chất_lượng', 'đào_tạo', 'thực_trạng', 'giải_pháp']",hội_thảo khoa_học cấp trường nâng cao chất_lượng đào_tạo thực_trạng giải_pháp,19,The 4th IUH Young Science Conference 2022 - A place to nurture passion for scientific research,Nghiên cứu,the th iuh young science conference a place to nurture passion for scientific research,"['iuh', 'young', 'science', 'conference', 'place', 'nurture', 'passion', 'scientific', 'research']",iuh young science conference place nurture passion scientific research
20,Hội nghị khoa học quốc tế BAIC 2025 lần 2 tại IUH - Sức mạnh AI trong quản trị,Nghiên cứu,hội nghị khoa học quốc tế baic lần tại iuh sức mạnh ai trong quản trị,"['hội_nghị', 'khoa_học', 'quốc_tế', 'baic', 'lần', 'iuh', 'sức_mạnh', 'ai', 'quản_trị']",hội_nghị khoa_học quốc_tế baic lần iuh sức_mạnh ai quản_trị,20,Ceremony to announce the Decision to establish and launch research groups of Ho Chi Minh City University of Industry. Ho Chi Minh,Nghiên cứu,ceremony to announce the decision to establish and launch research groups of ho chi minh city university of industry ho chi minh,"['ceremony', 'announce', 'decision', 'establish', 'launch', 'research', 'group', 'chi', 'minh', 'city', 'university', 'industry', 'chi', 'minh']",ceremony announce decision establish launch research group chi minh city university industry chi minh
21,Lễ trao học bổng và Hội thảo công nghệ hiệu chỉnh ADAS tại Đại học Công nghiệp TP. HCM,Nghiên cứu,lễ trao học bổng và hội thảo công nghệ hiệu chỉnh adas tại đại học công nghiệp tp hcm,"['lễ', 'trao', 'học_bổng', 'hội_thảo', 'công_nghệ', 'hiệu_chỉnh', 'adas', 'đại_học', 'công_nghiệp', 'tp', 'hcm']",lễ trao học_bổng hội_thảo công_nghệ hiệu_chỉnh adas đại_học công_nghiệp tp hcm,21,Startup Science Conference - Innovation 2021,Nghiên cứu,startup science conference innovation,"['startup', 'science', 'conference', 'innovation']",startup science conference innovation
22,Hội thảo Sinh viên Nghiên cứu Khoa học Khoa Công nghệ Nhiệt Lạnh lần thứ 5 – 2023,Nghiên cứu,hội thảo sinh viên nghiên cứu khoa học khoa công nghệ nhiệt lạnh lần thứ,"['hội_thảo', 'sinh_viên', 'nghiên_cứu', 'khoa_học_khoa', 'công_nghệ', 'nhiệt_lạnh', 'lần', 'thứ']",hội_thảo sinh_viên nghiên_cứu khoa_học_khoa công_nghệ nhiệt_lạnh lần thứ,22,Research team - The key to promoting scientific research at IUH,Nghiên cứu,research team the key to promoting scientific research at iuh,"['research', 'team', 'key', 'promote', 'scientific', 'research', 'iuh']",research team key promote scientific research iuh
23,Hội thảo Sinh viên Nghiên cứu khoa học Khoa Quản trị Kinh doanh lần thứ V – IUH BASS 2023,Nghiên cứu,hội thảo sinh viên nghiên cứu khoa học khoa quản trị kinh doanh lần thứ v iuh bass,"['hội_thảo', 'sinh_viên', 'nghiên_cứu', 'khoa_học_khoa', 'quản_trị', 'kinh_doanh', 'lần', 'thứ', 'iuh', 'bass']",hội_thảo sinh_viên nghiên_cứu khoa_học_khoa quản_trị kinh_doanh lần thứ iuh bass,23,3rd scientific conference: Students with the trend of developing thermal engineering in the 4.0 era,Nghiên cứu,rd scientific conference students with the trend of developing thermal engineering in the era,"['scientific', 'conference', 'student', 'trend', 'develop', 'thermal', 'engineering', 'era']",scientific conference student trend develop thermal engineering era
24,Hội nghị Khoa học trẻ IUH lần 4 năm 2022 - Nơi ươm mầm cho đam mê nghiên cứu khoa học,Nghiên cứu,hội nghị khoa học trẻ iuh lần năm nơi ươm mầm cho đam mê nghiên cứu khoa học,"['hội_nghị', 'khoa_học', 'trẻ', 'iuh', 'lần', 'năm', 'nơi', 'ươm', 'mầm', 'đam_mê', 'nghiên_cứu', 'khoa_học']",hội_nghị khoa_học trẻ iuh lần năm nơi ươm mầm đam_mê nghiên_cứu khoa_học,24,Workshop on advanced research in thermal and fluid sciences,Nghiên cứu,workshop on advanced research in thermal and fluid sciences,"['workshop', 'advance', 'research', 'thermal', 'fluid', 'science']",workshop advance research thermal fluid science
25,Lễ công bố Quyết định thành lập và ra mắt các nhóm nghiên cứu của Trường Đại học Công nghiệp TP. Hồ Chí Minh,Nghiên cứu,lễ công bố quyết định thành lập và ra mắt các nhóm nghiên cứu của trường đại học công nghiệp tp hồ chí minh,"['lễ', 'công_bố', 'quyết_định', 'thành_lập', 'ra_mắt', 'nhóm', 'nghiên_cứu', 'trường', 'đại_học', 'công_nghiệp', 'tp', 'hồ', 'chí_minh']",lễ công_bố quyết_định thành_lập ra_mắt nhóm nghiên_cứu trường đại_học công_nghiệp tp hồ chí_minh,25,"3rd Young Science Conference 2021: ""Young knowledge in the 4.0 era""",Nghiên cứu,rd young science conference young knowledge in the era,"['young', 'science', 'conference', 'young', 'knowledge', 'era']",young science conference young knowledge era
26,Hội thảo Khoa học Khởi nghiệp - Đổi mới sáng tạo năm 2021,Nghiên cứu,hội thảo khoa học khởi nghiệp đổi mới sáng tạo năm,"['hội_thảo', 'khoa_học', 'khởi_nghiệp', 'đổi_mới', 'sáng_tạo', 'năm']",hội_thảo khoa_học khởi_nghiệp đổi_mới sáng_tạo năm,26,Scientific research conference for students of the Faculty of Business Administration - IUHBASS III,Nghiên cứu,scientific research conference for students of the faculty of business administration iuhbass iii,"['scientific', 'research', 'conference', 'student', 'faculty', 'business', 'administration', 'iuhbass', 'iii']",scientific research conference student faculty business administration iuhbass iii
27,Nhóm nghiên cứu - Chìa khoá thúc đẩy nghiên cứu khoa học tại IUH,Nghiên cứu,nhóm nghiên cứu chìa khoá thúc đẩy nghiên cứu khoa học tại iuh,"['nhóm', 'nghiên_cứu', 'chìa', 'khóa', 'thúc_đẩy', 'nghiên_cứu', 'khoa_học', 'iuh']",nhóm nghiên_cứu chìa khóa thúc_đẩy nghiên_cứu khoa_học iuh,27,The 2nd Student Scientific Research Conference - Faculty of Commerce and Tourism 2021,Nghiên cứu,the nd student scientific research conference faculty of commerce and tourism,"['student', 'scientific', 'research', 'conference', 'faculty', 'commerce', 'tourism']",student scientific research conference faculty commerce tourism
28,Hội thảo khoa học lần 3: Sinh viên với xu hướng phát triển ngành kỹ thuật nhiệt trong thời đại 4.0,Nghiên cứu,hội thảo khoa học lần sinh viên với xu hướng phát triển ngành kỹ thuật nhiệt trong thời đại,"['hội_thảo', 'khoa_học', 'lần', 'sinh_viên', 'xu_hướng', 'phát_triển', 'ngành', 'kỹ_thuật', 'nhiệt', 'thời_đại']",hội_thảo khoa_học lần sinh_viên xu_hướng phát_triển ngành kỹ_thuật nhiệt thời_đại,28,Announcement regarding extension of time for submitting papers to the 3rd Young Science Conference in 2021,Nghiên cứu,announcement regarding extension of time for submitting papers to the rd young science conference in,"['announcement', 'regard', 'extension', 'time', 'submit', 'paper', 'young', 'science', 'conference']",announcement regard extension time submit paper young science conference
29,Hội thảo các nghiên cứu tiên tiến trong khoa học nhiệt và lưu chất,Nghiên cứu,hội thảo các nghiên cứu tiên tiến trong khoa học nhiệt và lưu chất,"['hội_thảo', 'nghiên_cứu', 'tiên_tiến', 'khoa_học_nhiệt', 'lưu_chất']",hội_thảo nghiên_cứu tiên_tiến khoa_học_nhiệt lưu_chất,29,Plan to organize the 3rd Young Science Conference - 2021,Nghiên cứu,plan to organize the rd young science conference,"['plan', 'organize', 'young', 'science', 'conference']",plan organize young science conference
30,"Hội nghị Khoa học trẻ lần 3 năm 2021: ""Tri thức trẻ thời đại 4.0""",Nghiên cứu,hội nghị khoa học trẻ lần năm tri thức trẻ thời đại,"['hội_nghị', 'khoa_học', 'trẻ', 'lần', 'năm', 'tri_thức', 'trẻ', 'thời_đại']",hội_nghị khoa_học trẻ lần năm tri_thức trẻ thời_đại,30,Announcement regarding extension of time to receive papers to participate in the 2020 Young Science Conference,Nghiên cứu,announcement regarding extension of time to receive papers to participate in the young science conference,"['announcement', 'regard', 'extension', 'time', 'receive', 'paper', 'participate', 'young', 'science', 'conference']",announcement regard extension time receive paper participate young science conference
31,Hội thảo nghiên cứu khoa học sinh viên Khoa Quản trị kinh doanh - IUHBASS III,Nghiên cứu,hội thảo nghiên cứu khoa học sinh viên khoa quản trị kinh doanh iuhbass iii,"['hội_thảo', 'nghiên_cứu', 'khoa_học_sinh_viên', 'khoa', 'quản_trị', 'kinh_doanh', 'iuhbass', 'iii']",hội_thảo nghiên_cứu khoa_học_sinh_viên khoa quản_trị kinh_doanh iuhbass iii,31,The 2nd Scientific Research Student Conference of the Faculty of Business Administration - 2020,Nghiên cứu,the nd scientific research student conference of the faculty of business administration,"['scientific', 'research', 'student', 'conference', 'faculty', 'business', 'administration']",scientific research student conference faculty business administration
32,Hội thảo nghiên cứu khoa học sinh viên - Khoa Thương mại và Du lịch lần thứ 2 năm 2021,Nghiên cứu,hội thảo nghiên cứu khoa học sinh viên khoa thương mại và du lịch lần thứ năm,"['hội_thảo', 'nghiên_cứu', 'khoa_học_sinh_viên', 'khoa', 'thương_mại', 'du_lịch', 'lần', 'thứ', 'năm']",hội_thảo nghiên_cứu khoa_học_sinh_viên khoa thương_mại du_lịch lần thứ năm,32,Plan to organize the 2nd Young Science Conference - 2020,Nghiên cứu,plan to organize the nd young science conference,"['plan', 'organize', 'young', 'science', 'conference']",plan organize young science conference
33,Thông báo v/v gia hạn thời gian nộp bài báo Hội nghị Khoa học trẻ lần 3 năm 2021,Nghiên cứu,thông báo v v gia hạn thời gian nộp bài báo hội nghị khoa học trẻ lần năm,"['thông_báo', 'gia_hạn', 'thời_gian', 'nộp', 'bài', 'báo', 'hội_nghị', 'khoa_học', 'trẻ', 'lần', 'năm']",thông_báo gia_hạn thời_gian nộp bài báo hội_nghị khoa_học trẻ lần năm,33,IUH successfully organizes academic and training events with scientists from Europe,Nghiên cứu,iuh successfully organizes academic and training events with scientists from europe,"['iuh', 'successfully', 'organize', 'academic', 'training', 'event', 'scientist', 'europe']",iuh successfully organize academic training event scientist europe
34,Kế hoạch tổ chức Hội nghị Khoa học trẻ lần thứ 3 - năm 2021,Nghiên cứu,kế hoạch tổ chức hội nghị khoa học trẻ lần thứ năm,"['kế_hoạch', 'tổ_chức', 'hội_nghị', 'khoa_học', 'trẻ', 'lần', 'thứ', 'năm']",kế_hoạch tổ_chức hội_nghị khoa_học trẻ lần thứ năm,34,IUH: 10 billion VND for creative and entrepreneurial activities of students,Nghiên cứu,iuh billion vnd for creative and entrepreneurial activities of students,"['iuh', 'billion', 'vnd', 'creative', 'entrepreneurial', 'activity', 'student']",iuh billion vnd creative entrepreneurial activity student
35,Thông báo v/v gia hạn thời gian nhận bài tham gia Hội nghị Khoa học trẻ 2020,Nghiên cứu,thông báo v v gia hạn thời gian nhận bài tham gia hội nghị khoa học trẻ,"['thông_báo', 'gia_hạn', 'thời_gian', 'nhận', 'bài', 'tham_gia', 'hội_nghị', 'khoa_học', 'trẻ']",thông_báo gia_hạn thời_gian nhận bài tham_gia hội_nghị khoa_học trẻ,35,Collection of international articles 2012-2019,Nghiên cứu,collection of international articles,"['collection', 'international', 'article']",collection international article
36,Hội thảo quốc tế Hoá học và Ứng dụng năm 2020,Nghiên cứu,hội thảo quốc tế hoá học và ứng dụng năm,"['hội_thảo', 'quốc_tế', 'hóa_học', 'ứng_dụng', 'năm']",hội_thảo quốc_tế hóa_học ứng_dụng năm,36,IUH organizes the International Conference ICAFB & ICELT 2019,Nghiên cứu,iuh organizes the international conference icafb icelt,"['iuh', 'organize', 'international', 'conference', 'icafb', 'icelt']",iuh organize international conference icafb icelt
37,Hội thảo Sinh viên nghiên cứu khoa học Khoa Quản trị kinh doanh lần 2 - năm 2020,Nghiên cứu,hội thảo sinh viên nghiên cứu khoa học khoa quản trị kinh doanh lần năm,"['hội_thảo', 'sinh_viên', 'nghiên_cứu', 'khoa_học_khoa', 'quản_trị', 'kinh_doanh', 'lần', 'năm']",hội_thảo sinh_viên nghiên_cứu khoa_học_khoa quản_trị kinh_doanh lần năm,37,Plan to organize the 1st Young Science Conference in 2019,Nghiên cứu,plan to organize the st young science conference in,"['plan', 'organize', 'young', 'science', 'conference']",plan organize young science conference
38,Kế hoạch tổ chức Hội nghị Khoa học trẻ lần 2 - năm 2020,Nghiên cứu,kế hoạch tổ chức hội nghị khoa học trẻ lần năm,"['kế_hoạch', 'tổ_chức', 'hội_nghị', 'khoa_học', 'trẻ', 'lần', 'năm']",kế_hoạch tổ_chức hội_nghị khoa_học trẻ lần năm,38,Lecturers and students of the Faculty of Information Technology actively participate in AWS Educate Vietnam Championship – BUILD-IT Project,Nghiên cứu,lecturers and students of the faculty of information technology actively participate in aws educate vietnam championship build it project,"['lecturer', 'student', 'faculty', 'information', 'technology', 'actively', 'participate', 'aws', 'educate', 'vietnam', 'championship', 'build', 'project']",lecturer student faculty information technology actively participate aws educate vietnam championship build project
39,IUH tổ chức thành công các sự kiện học thuật và đào tạo với các nhà khoa học từ châu Âu,Nghiên cứu,iuh tổ chức thành công các sự kiện học thuật và đào tạo với các nhà khoa học từ châu âu,"['iuh', 'tổ_chức', 'thành_công', 'sự_kiện', 'học_thuật', 'đào_tạo', 'nhà_khoa_học', 'châu_âu']",iuh tổ_chức thành_công sự_kiện học_thuật đào_tạo nhà_khoa_học châu_âu,39,Science and Technology Magazine - Issue 29 (May 2017),Nghiên cứu,science and technology magazine issue may,"['science', 'technology', 'magazine', 'issue', 'may']",science technology magazine issue may
40,IUH: 10 tỷ đồng cho hoạt động sáng tạo và khởi nghiệp của sinh viên,Nghiên cứu,iuh tỷ đồng cho hoạt động sáng tạo và khởi nghiệp của sinh viên,"['iuh', 'tỷ', 'đồng', 'hoạt_động', 'sáng_tạo', 'khởi_nghiệp', 'sinh_viên']",iuh tỷ đồng hoạt_động sáng_tạo khởi_nghiệp sinh_viên,40,Science and Technology Magazine - Issue 27 (March 2017),Nghiên cứu,science and technology magazine issue march,"['science', 'technology', 'magazine', 'issue', 'march']",science technology magazine issue march
