STT,Thông tin,Label
39,IUH tổ chức thành công các sự kiện học thuật và đào tạo với các nhà khoa học từ châu Âu,Nghiên cứu
40,IUH: 10 tỷ đồng cho hoạt động sáng tạo và khởi nghiệp của sinh viên,Nghiên cứu
41,Tổng hợp các bài báo quốc tế 2012-2019,Nghiên cứu
42,Hội thảo khoa học quốc tế Ứng dụng vi tảo trong xử lý môi trường nước thả,Nghiên cứu
43,IUH tổ chức Hội thảo quốc tế ICAFB & ICELT 2019,Nghiên cứu
44,Kế hoạch tổ chức Hội nghị khoa học trẻ lần 1 năm 2019,Nghiên cứu
45,Giảng viên và sinh viên Khoa CNTT tham gia tích cực AWS Educate Vietnam Championship – Dự án BUILD-IT,Nghiên cứu
46,Tạp chí Khoa học và Công nghệ - Số 29 (05-2017),Nghiên cứu
47,Tạp chí Khoa học và Công nghệ - Số 27 (03-2017),Nghiên cứu
48,Hội nghị khoa học quốc tế về An ninh lương thực và phát triển bền vững 2017 - ISFS2017,Nghiên cứu
49,Tạp chí Khoa học và Công nghệ - Số 26 (02-2017),Nghiên cứu
50,Tạp chí Khoa học và Công nghệ - Số 25 (01-2017),Nghiên cứu
51,Công bố quốc tế ISI của các đại học Việt Nam trong năm học 2016-2017,Nghiên cứu
52,Tạp chí Khoa học và Công nghệ - Số 24 (03-2016),Nghiên cứu
53,Thành lập Văn phòng đại diện Hội Nghiên cứu Biên tập Công trình Khoa học và Công nghệ Việt Nam tại Thành phố Hồ Chí Minh,Nghiên cứu
54,Tạp chí Khoa học và Công nghệ - Số 23 (02-2016),Nghiên cứu
55,Thông báo kết quả xét duyệt bài báo tham dự Hội nghị Khoa học Quốc tế ICATSD2016,Nghiên cứu
56,Giấy phép hoạt động Tạp chí Khoa học và Công nghệ - Trường Đại học Công nghiệp TP.HCM,Nghiên cứu
57,Sinh viên Trường ĐH Công nghiệp TPHCM xuất sắc dẫn đầu lĩnh vực kỹ thuật và môi trường Euréka 2015,Nghiên cứu
58,"Lễ tuyên dương “Nhà giáo trẻ tiêu biểu” và “Sinh viên nghiên cứu khoa học Euréka”, “Sinh viên 5 tốt” năm học 2014-2015",Nghiên cứu
59,Hội thảo khoa học “Nâng cao chất lượng đào tạo và nghiên cứu khoa học trong điều kiện tự chủ tại Trường Đại học Công nghiệp TPHCM”,Nghiên cứu
60,Ra mắt Câu lạc bộ Nghiên cứu trẻ,Nghiên cứu
61,Trung tâm R&D Tech - Đại học Công nghiệp TPHCM nhận bằng khen của UBND TPHCM nhân Ngày khoa học và công nghệ Việt Nam 18/5,Nghiên cứu
62,Sinh viên Trường Đại học Công nghiệp TPHCM chế tạo hệ thống lọc nước chỉ 10.000 đồng,Nghiên cứu
63,Trường Đại học Công nghiệp TP. HCM kết hợp với Đại học Quốc lập Nghị Lam – Đài Loan tổ chức hội thảo khoa học.,Nghiên cứu
64,"Hội nghị Quốc tế về Đổi mới Sáng tạo trong Công nghệ và Giáo dục - ICITE 2025 đã lần đầu tiên diễn ra tại Việt Nam, với sự đăng cai của Đại học Công nghiệp TP.HCM (IUH).",Nghiên cứu
65,"Hội nghị tạo nên diễn đàn học thuật sôi nổi giữa các nhà nghiên cứu Việt Nam và Philippines, thúc đẩy trao đổi chuyên môn, mở rộng hợp tác nghiên cứu, tăng cường chương trình trao đổi giảng viên - sinh viên. ",Nghiên cứu
66,Các đại biểu và giảng viên tham dự hội nghị chuyên đề về du lịch xứ Thanh,Nghiên cứu
67, Đánh giá tiềm năng và kết quả phát triển du lịch Thanh Hóa giai đoạn 2021-2025,Nghiên cứu
68,"Định hướng phát triển đến năm 2030, tầm nhìn 2045 và các giải pháp chiến lược thu hút khách quốc tế đến Thanh Hóa",Nghiên cứu
69,"Hội thảo vinh dự đón tiếp ông Lê Ngọc Ánh Minh, Chủ tịch Câu lạc bộ Hydro Việt Nam - ASEAN (VAHC); ông Mikhail Berkutov, Lãnh sự - Tổng Lãnh sự quán Liên bang Nga tại TP.HCM, doanh nghiệp, tổ chức trong và ngoài nước.",Nghiên cứu
70,"Việc tăng cường liên kết giữa doanh nghiệp - trường đại học - tổ chức quốc tế sẽ là chìa khóa thúc đẩy đổi mới sáng tạo, từ đó mở ra các ứng dụng và mô hình phát triển Hydro hiệu quả hơn trong thời gian tới",Nghiên cứu
71,Hội thảo quốc tế mang đến góc nhìn toàn diện về công nghệ Hydro - từ sản xuất đến ứng dụng thực tiễn tại Việt Nam và ASEAN,Nghiên cứu
72,"Trong bối cảnh chuyển đổi số mạnh mẽ và xu hướng phát triển năng lượng bền vững, số hóa và trí tuệ nhân tạo (AI) ngày càng giữ vai trò trọng yếu trong việc hiện đại hóa các hệ thống điện thông minh.",Nghiên cứu
73,"Nhờ AI, việc điều khiển và giám sát lưới điện trở nên nhanh hơn, chính xác hơn và tiết kiệm năng lượng hơn",Nghiên cứu
74,"Nhà trường mong muốn cập nhật các xu hướng công nghệ mới nhất, đồng thời tăng cường kết nối giữa giảng đường và doanh nghiệp. Hội thảo là diễn đàn để nhà khoa học, chuyên gia và sinh viên trao đổi kinh nghiệm, thảo luận những giải pháp đưa số hóa và AI vào giám sát, điều khiển và quản lý hệ thống điện hiện đại",Nghiên cứu
75,"Thông qua hội thảo, ABB kỳ vọng thúc đẩy hợp tác nghiên cứu, chuyển giao công nghệ và đào tạo nguồn nhân lực chất lượng cao, đáp ứng nhu cầu phát triển của ngành điện Việt Nam trong kỷ nguyên chuyển đổi số",Nghiên cứu
76,"Hội thảo khẳng định vai trò của số hóa và AI trong mọi khâu của hệ thống điện – từ dự báo năng lượng, điều độ vận hành, đến bảo trì dự đoán và quản lý phụ tải – mở ra nhiều cơ hội đổi mới và ứng dụng thực tiễn cho giảng viên, sinh viên và doanh nghiệp",Nghiên cứu
77,"Sáng ngày 17/11/2025, Hội thảo quốc tế ACM RACS 2025 chính thức khai mạc tại Trường đại học Công nghiệp TP.HCH",Nghiên cứu
78,Hội thảo vinh dự đón tiếp các chuyên gia đầu ngành,Nghiên cứu
79,"Hội thảo năm nay nhận được 59 bài gửi từ 15 quốc gia, trong đó 36 bài full paper và 4 bài short paper được chọn trình bày sau quá trình phản biện nghiêm ngặt.",Nghiên cứu
80,Giới thiệu hướng nghiên cứu mới giúp AI hiểu và dự đoán đặc tính phân tử trong hóa học và sinh học,Nghiên cứu
81,"AI và học máy - cải tiến mô hình, xử lý ngôn ngữ, hệ thống chấm điểm tự động",Nghiên cứu
82,"Hệ thống phần mềm & tính toán hiệu năng cao – tối ưu hóa bộ nhớ, lưu trữ, mô phỏng lượng tử",Nghiên cứu
83,"AI và thị giác máy tính - phân tích ảnh vệ tinh, nhận dạng vật thể, dự báo môi trường",Nghiên cứu
84,"An ninh mạng & IoT - IDS, bảo mật xe tự hành, hệ thống thông minh",Nghiên cứu
85,"RACS là diễn đàn đề cao tính mới, tính ứng dụng và tính hội tụ của công nghệ.",Nghiên cứu
86,GS. Shih-Hao Hung - Đại học Quốc gia Đài Loan (National Taiwan University) - Đồng Chủ tịch Hội thảo phát biểu tại chương trình,Nghiên cứu
87,"ACM RACS 2025 diễn ra trong 3 ngày, từ 17–19/11/2025, với workshop và hoạt động tiền hội thảo bắt đầu từ ngày 15/11.",Nghiên cứu
88,"Sự kiện không chỉ đánh dấu bước tiến quan trọng của IUH trong chiến lược quốc tế hóa mà còn góp phần mở rộng mạng lưới nghiên cứu, thúc đẩy các hướng phát triển mới trong khoa học máy tính và đổi mới sáng tạo.",Nghiên cứu
89,Khung cảnh hội nghị,Nghiên cứu
90,"Hội nghị Khoa học trẻ - IUH (YSC) là sân chơi học thuật thường niên khuyến khích sinh viên, học viên và giảng viên trẻ nghiên cứu, phát triển các sản phẩm công nghệ theo định hướng “cuộc sống xanh - sản phẩm xanh”.",Nghiên cứu
91,"Nhiều đề tài thể hiện tính mới, tính sáng tạo và khả năng ứng dụng thực tiễn cao, đặc biệt có tiềm năng thương mại hóa trong các lĩnh vực công nghệ, kỹ thuật và đổi mới sáng tạo",Nghiên cứu
92,"Nhiều bài nghiên cứu đạt tiêu chuẩn học thuật để đề xuất đăng trên Tạp chí Khoa học và Công nghệ của Trường, góp phần lan tỏa tri thức đến cộng đồng khoa học rộng rãi hơn",Nghiên cứu
93,Khoa học công nghệ xanh - Kiến tạo cuộc sống xanh,Nghiên cứu
94,"Hội nghị Khoa học trẻ IUH lần thứ 7 năm 2025 ghi dấu sự gia tăng vượt bậc cả về số lượng lẫn chất lượng các công trình nghiên cứu, phản ánh tinh thần sáng tạo, đổi mới và khát vọng cống hiến của thế hệ trẻ IUH trong lĩnh vực khoa học – công nghệ.",Nghiên cứu
95,Thành công của hội nghị năm nay cũng mở ra kỳ vọng cho Hội nghị Khoa học trẻ lần thứ 8 năm 2026 với quy mô và chất lượng ngày càng vươn cao.,Nghiên cứu
96,"Hội thảo diễn ra sôi nổi với nhiều nội dung thiết thực, mở đầu bằng hai báo cáo trọng tâm",Nghiên cứu
97,Sở hữu trí tuệ trong hoạt động hợp tác nghiên cứu triển khai - Kinh nghiệm quốc tế,Nghiên cứu
98,"Viện Sở hữu trí tuệ, Khởi nghiệp & Đổi mới sáng tạo",Nghiên cứu
99,Thương mại hóa quyền sở hữu trí tuệ - Một số mô hình phù hợp với Việt Nam,Nghiên cứu
100,"đăng cai Hội nghị Khoa học Quốc tế VietCALL - sự kiện học thuật uy tín về ứng dụng công nghệ và trí tuệ nhân tạo (AI) trong giảng dạy, học tập ngôn ngữ.",Nghiên cứu
101,Hội nghị VietCALL do Phân hội Nghiên cứu và Ứng dụng Công nghệ Dạy học Ngôn ngữ (VietCALL),Nghiên cứu
102,"Hội Ngôn ngữ học Việt Nam phối hợp cùng Khoa Ngoại ngữ, Đại học Công nghiệp TP. Hồ Chí Minh tổ chức.",Nghiên cứu
103,"Hội nghị lần thứ nhất năm 2025 nhận được hơn 83 bài báo tóm tắt từ 156 tác giả trong và ngoài nước, phản ánh sức hút lớn của chủ đề ứng dụng AI trong giáo dục ngôn ngữ.",Nghiên cứu
104,chủ đề “Nâng cao chiến lược sư phạm cho giáo dục ngôn ngữ tích hợp AI”,Nghiên cứu
105,"Hội nghị thu hút hơn 500 đại biểu và khách tham dự, bao gồm các học giả, giảng viên, nhà nghiên cứu và sinh viên đến từ nhiều quốc gia như Mỹ, Thụy Điển, Trung Quốc, Indonesia, Úc, Singapore và Việt Nam.",Nghiên cứu
106,"Tại hội nghị VietCALL lần thứ nhất, các đại biểu sẽ được lắng nghe nhiều tham luận chuyên sâu và báo cáo nghiên cứu",Nghiên cứu
107,Những đổi mới và xu hướng mới nổi trong giảng dạy và học tập ngôn ngữ;,Nghiên cứu
108,Những tiến bộ lý thuyết và thực tiễn trong ngôn ngữ và ngôn ngữ học;,Nghiên cứu
109,CALL (Computer-Assisted Language Learning) tiên tiến;,Nghiên cứu
110,Ứng dụng và đánh giá các công cụ AI trong giáo dục ngôn ngữ;,Nghiên cứu
111,Tích hợp hiệu quả và đánh giá đổi mới công nghệ trong lớp học;,Nghiên cứu
112,Thách thức sư phạm và giải pháp trong học tập ngôn ngữ tăng cường AI,Nghiên cứu
113,Các bài báo cáo toàn văn được chọn lọc sẽ được đăng trong Kỷ yếu Hội nghị hoặc trên Tạp chí Quốc tế International Journal of AI in Language Education,Nghiên cứu
114,"Bên cạnh các phiên trình bày trọng tâm (plenary sessions), hội nghị còn có nhiều phiên song song và thảo luận mở với sự tham gia của các chuyên gia quốc tế, tập trung trao đổi về xu hướng và tương lai của giáo dục ngôn ngữ trong kỷ nguyên công nghiệp 4.0. ",Nghiên cứu
115,TS. Bảo Khâm - Chủ tịch VietCALL phát biểu khai mạc hội nghị,Nghiên cứu
116,"“Trình dạy ngôn ngữ thứ hai thông minh nhạy cảm với cảm xúc” (Emotion Sensitive Second Language Intelligent Tutors) - GS. TS. Beverly Park Woolf, Đại học Massachusetts-Amherst, Hoa Kỳ.",Nghiên cứu
117,"“Hình ảnh phù hợp với văn hóa: Pixabay, trí tuệ nhân tạo và điện thoại di động” (Culturally Relevant Images: Pixabay, AI, and Phones) - TS. Deborah Healey, Đại học Oregon, Hoa Kỳ.",Nghiên cứu
118,"“Khi có nhiều hơn một đáp án đúng: Bài học cho trí tuệ nhân tạo trong giáo dục” (When More Than One Answer is Correct: Lessons for AI in Education) - Bà Anisia Katinskaia, Chuyên gia Khoa học Dữ liệu cao cấp, Nhà nghiên cứu Trung tâm Khoa học Dữ liệu Thụy Sĩ (EPFL), Đại học Helsinki, Thụy Sĩ.",Nghiên cứu
119,"“Ứng dụng trí tuệ nhân tạo sinh tạo (GAI) nhằm nâng cao việc dạy và học tiếng Anh như ngoại ngữ (EFL)” (Using Generative Artificial Intelligence (GAI) to enhance in EFL learning and teaching) - TS. Bin Zou, Phó Giáo sư Cao cấp, Đại học Giao thông Tây An - Liverpool, Trung Quốc.",Nghiên cứu
120,Hội nghị VietCALL lần thứ nhất đánh dấu một cột mốc quan trọng trong hành trình thúc đẩy đổi mới và hợp tác quốc tế trong lĩnh vực giáo dục ngôn ngữ và công nghệ,Nghiên cứu
121,Nâng tầm chất lượng giảng dạy: Hội thi giảng viên dạy giỏi GDQP&AN - GDTC tại IUH năm học 2025 - 2026,Tin tức
122,Nhiều sinh viên IUH đạt danh hiệu “Sinh viên 5 tốt” cấp Trung ương và Thành phố,Tin tức
123,"IUH thiết lập hợp tác dài hạn với Trung tâm Hỗ trợ Cộng đồng Giáo dục, TP. Iksan",Tin tức
124,IUH BASS 2025: Nhiều nghiên cứu sinh viên phản ánh vấn đề thời sự trong quản trị kinh doanh,Tin tức
125,21 sinh viên IUH hoàn thành nhiệm vụ đào tạo sĩ quan dự bị năm 2025,Tin tức
126,Ngành Kinh doanh quốc tế và bài toán nguồn nhân lực hội nhập tại IUH,Tin tức
127,Tập huấn Bộ nhận diện thương hiệu IUH: Đồng bộ hình ảnh - Lan tỏa giá trị,Tin tức
128,10 hoạt động và thành tựu tiêu biểu của IUH trong năm học 2024–2025,Tin tức
129,IUH lập dấu ấn tại Olympic Tin học Sinh viên Việt Nam 2025: 100% thí sinh đều đoạt giải,Tin tức
130,Chúc mừng Giáng sinh và Chúc mừng năm mới 2026,Tin tức
131,Hội Cựu chiến binh IUH về nguồn kỷ niệm 81 năm Ngày thành lập Quân đội Nhân dân Việt Nam,Tin tức
132,Đại biểu IUH trúng cử vào Ban Thường vụ Công đoàn Công Thương Việt Nam khóa V,Tin tức
133,Biến vảy cá thành giá trị xanh: Sinh viên IUH chinh phục Giải Nhì FID 2025,Tin tức
134,"Vượt qua hơn 140 đội thi, sinh viên IUH giành giải Nhì Cuộc thi Thiết kế Điện tử Việt Nam 2025",Tin tức
135,IUH vào Top 3 trường có kết quả cao nhất toàn quốc tại OlpAI’25,Tin tức
136,"Ngày hội Chào Tân sinh viên: IUH vinh danh thủ khoa, trao học bổng và tri ân doanh nghiệp đồng hành",Tin tức
137,Đại học Công nghiệp TP. HCM đón nhận cờ thi đua của Thủ tướng Chính phủ,Tin tức
138,"IUH triển khai chương trình hành động thực hiện các nghị quyết về KH&CN, đổi mới sáng tạo và chuyển đổi số",Tin tức
139,IUH vinh danh và khen thưởng hoạt động nghiên cứu khoa học và công nghệ năm 2024,Tin tức
140,"IUH và Roboworld ký kết hợp tác, thúc đẩy nghiên cứu và đào tạo trong lĩnh vực Robot",Tin tức
141,IUH vượt chỉ tiêu trong tuyển chọn sinh viên đào tạo Sĩ quan dự bị năm 2025,Tin tức
142,Đảng viên Trường đại học Công nghiệp TP. Hồ Chí Minh vinh dự nhận Huy hiệu Đảng nhân dịp Lễ Quốc khánh,Tin tức
143,Kết nối giáo dục – doanh nghiệp: IUH và Huỳnh Thy hợp tác phát triển nguồn nhân lực chất lượng cao,Tin tức
144,"IUH đạt 100% cán bộ, viên chức và người lao động tham gia tập huấn An toàn vệ sinh lao động",Tin tức
145,Báo cáo viên IUH chia sẻ kinh nghiệm tại Hội thảo quốc tế do Bộ GD&ĐT và AUN tổ chức,Tin tức
146,IUH đồng hành cùng thế hệ trẻ: Lê Minh Quân được vinh danh trong 47 học sinh tiêu biểu của Công đoàn Công Thương Việt Nam,Tin tức
147,Đại học Công nghiệp TP.HCM đưa AI vào giáo dục – Hướng tới nguồn nhân lực chất lượng cao,Tin tức
148,IUH đưa vào sử dụng phòng thí nghiệm hiện đại về Thiết kế vi mạch và Đo kiểm,Tin tức
149,Tiếp lửa học tập – Hơn 1000 suất học bổng Nguyễn Đức Cảnh được trao tại IUH,Tin tức
150,Thành lập Chi hội Vô tuyến – Điện tử tại IUH – Bước tiến mới trong hợp tác và nghiên cứu,Tin tức
151,Khai mạc đánh giá chất lượng 03 chương trình đào tạo trình độ đại học theo tiêu chuẩn AUN-QA của IUH,Tin tức
152,IUH khánh thành Phòng thí nghiệm Robot và tiếp nhận thiết bị từ ABB Việt Nam,Tin tức
153,"Kỳ thi đánh giá năng lực Đại học Quốc gia TP. HCM đợt 1: An toàn, đúng quy chế tại Cụm 10 (IUH)",Tin tức
154,Hội thảo “Nâng cao năng lực quản trị tài sản trí tuệ” của Cục Sở hữu trí tuệ tại IUH,Tin tức
155,"IUH tăng cường trao đổi, hợp tác các doanh nghiệp trong kỷ nguyên AI",Tin tức
156,Tuần cuối trước kỳ thi đánh giá năng lực: Checklist quan trọng thí sinh không thể bỏ lỡ!,Tin tức
157,Trải nghiệm tham quan học tập kết hợp hoạt động cộng đồng của đội ngũ cán bộ viên chức Đại học Công nghiệp TP. HCM,Tin tức
158,"Thi đánh giá năng lực 2025, thí sinh được mang vật dụng gì vào phòng thi?",Tin tức
159,Ứng dụng AI trong tập huấn dạy học dựa trên chuẩn đầu ra (OBE),Tin tức
160,Khai mạc Hội thảo quốc tế IUKM 2025 tại IUH,Tin tức
161,"Lễ khai giảng khóa đào tạo trình độ tiến sĩ, thạc sĩ và trao bằng cho các Tân thạc sĩ tại IUH",Tin tức
162,Giám đốc Sở GD-ĐT Tây Ninh: “IUH là nơi chúng tôi tin tưởng gửi gắm học sinh của mình”,Tin tức
163,Hội thảo xu thế truyền thông quốc tế Việt - Nhật,Tin tức
164,IUH tổng kết 15 năm hợp tác cùng Đại học Liège (Vương quốc Bỉ),Tin tức
165,"Hội nghị Viên chức, Người lao động Đại học Công nghiệp TP. HCM năm 2025",Tin tức
166,IUH cùng Rock Wool Khải Hoàn ươm mầm tương lai,Tin tức
167,IUH ký kết MOU với Liên danh Hanabi Group - Hashimotogumi,Tin tức
168,Hội nghị tổng kết công tác Đoàn – Hội năm học 2023 – 2024 và triển khai nhiệm vụ năm học mới tại IUH,Tin tức
169,"Liên hoan cán bộ Đoàn, Đảng viên trẻ và Lễ kết nạp Hội sinh viên Việt Nam tại Đại học Công nghiệp TP. HCM",Tin tức
170,"Hội thảo “Dr Energy Recovery Ventilator”, trao tặng thiết bị và học bổng Dr Fan tại Đại Học Công nghiệp TP. HCM",Tin tức
171,IUH tiếp nhận tài trợ thiết bị hơn nửa tỉ đồng từ Mitsubishi Electric Việt Nam,Tin tức
172,Lộ diện 9 thủ khoa đầu vào của Đại học Công nghiệp TP. HCM được vinh danh tại Lễ Khai giảng năm học 2024 – 2025,Tin tức
173,Vinh danh và khen thưởng hoạt động nghiên cứu khoa học và công nghệ năm 2023 tại Đại học Công nghiệp TP. HCM,Tin tức
174,Đại học Công nghiệp TP. HCM cùng VPBank thắp sáng tài năng,Tin tức
175,Bùng cháy đêm đại nhạc hội chào đón tân sinh viên tại Đại học Công nghiệp TP. HCM,Tin tức
176,Tiếng trống thiêng liêng chào đón năm học mới 2024 - 2025 tại Đại học Công nghiệp TP.HCM,Tin tức
177,Đại học Công nghiệp TP. HCM hoàn thành kiểm định chu kỳ 2 cho 04 chương trình đại học,Tin tức
178,Hội thảo giải pháp làm sạch không khí và trao học bổng Air Filtech tại Đại học Công nghiệp TP. HCM,Tin tức
179,Đại học Công nghiệp TP. HCM chung tay hướng về đồng bào miền Bắc,Tin tức
180,Lễ Tổng kết INNOGREENLIFE2023” và khởi động giải Cuộc thi “INNOGREENLIFE2024 - Đổi mới sáng tạo vì cuộc sống Xanh”,Tin tức
181,IUH nhận giấy khen của Ban Chấp hành Đảng bộ Khối Các cơ quan Trung ương tại Thành phố Hồ Chí Minh,Tin tức
182,Lễ Khai mạc Hội thao toàn trường năm 2024,Tin tức
183,Đại học Công nghiệp TP. Hồ Chí Minh cho phép sinh viên học thạc sĩ,Tin tức
184,Đại học Công nghiệp Thành phố Hồ Chí Minh tổ chức các hoạt động chào mừng ngày Quốc tế Phụ nữ,Tin tức
185,"Hội nghị Viên chức, người lao động năm 2024",Tin tức
186,Hội nghị Tổng kết công tác Đảng năm 2023 và triển khai phương hướng nhiệm vụ năm 2024,Tin tức
187,Hội nghị Viên chức – Người lao động năm 2024 tại các đơn vị trực thuộc trường,Tin tức
188,10 sự kiện và thành tựu tiêu biểu năm 2023 của IUH,Tin tức
189,IUH tổ chức các chương trình hướng về ngày Quân đội Nhân dân Việt Nam,Tin tức
190,Hội nghị tổng kết hoạt động Công đoàn Trường Đại học Công nghiệp Thành phố Hồ Chí Minh năm học 2022 - 2023,Tin tức
191,Trường Đại học Công nghiệp TP. Hồ Chí Minh trao quyết định bổ nhiệm chức danh Phó Giáo sư,Tin tức
192,Sinh viên IUH “nổi bật” tại cuộc thi Olympic Tin học và lập trình viên Quốc tế châu Á 2023,Tin tức
193,IUH long trọng tổ chức Lễ bế giảng và trao bằng Tốt nghiệp năm 2023,Tin tức
194,"Hội thảo “Cải tiến phương pháp giảng dạy kỹ năng làm việc nhóm, thích ứng tốt trong bối cảnh hội nhập quốc tế”",Tin tức
195,IUH tổ chức Lễ bảo vệ Luận án tiến sĩ cấp trường,Tin tức
196,Hướng dẫn nhập học năm học 2023 - 2024,Tin tức
197,Những điều Tân sinh viên nên biết để vượt qua “quãng đường đại học” dễ dàng,Tin tức
198,Lễ trao thưởng học bổng Nguyễn Đức Cảnh năm học 2022 - 2023 và vinh danh Gia đình tiêu biểu xuất sắc năm 2023,Tin tức
199,Trường Đại học Công nghiệp Thành phố Hồ Chí Minh ký kết hợp tác cùng Công ty ABB Robotics Việt Nam,Tin tức
200,Tập huấn công tác Công đoàn tại Trường Đại học Công Nghiệp Thành phố Hồ Chí Minh năm 2023,Tin tức
201,Công bố Quyết định bổ nhiệm và Quyết định bổ nhiệm lại viên chức Quản lý,Tin tức
202,Diễn tập thoát nạn cho 300 người ở Trường Đại học Công nghiệp TP.HCM,Tin tức
203,Sinh viên Khoa Công nghệ Điện xuất sắc đạt giải Nhì cuộc thi MECA 2023,Tin tức
204,Hội thảo Sinh viên Nghiên cứu Khoa học Khoa Công nghệ Nhiệt Lạnh lần thứ 5 – 2023,Tin tức
205,Ngành Kỹ thuật điện và Năng lượng tái tạo sau khi ra trường làm gì?,Tin tức
206,Hội nghị sơ kết giữa nhiệm kỳ thực hiện Nghị quyết Đại hội Đảng bộ Trường Đại học Công nghiệp Thành phố Hồ Chí Minh,Tin tức
